"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load"
"14L-Mission Limited to Daly City Weekday",,,,,,,,,,,,
"Steuart St&Mission St W-NS/BZ","89","0","91","18","0","18","45","0","46","26","0","27"
"Mission St&Spear St W-FS/BZ","47","1","137","5","1","22","26","0","72","16","0","43"
"Mission St&Beale St W-FS/BZ","40","0","177","5","0","27","18","0","90","17","0","60"
"Mission St&1st St N-NS/BZ","115","2","290","11","0","38","68","2","156","36","0","96"
"Mission St&2nd St W-FS/BZ","79","18","351","1","3","36","51","8","199","27","7","116"
"Mission St&3rd St W-FS/BZ","95","18","428","6","5","37","50","10","239","39","3","152"
"Mission St&4th St W-FS/BZ","281","38","671","7","2","42","168","23","384","106","13","245"
"Mission St&5th St W-FS/BZ","134","30","775","5","2","45","90","17","457","39","11","273"
"Mission St&7th St W-FS/BZ","99","44","830","2","1","46","67","33","491","30","10","293"
"Mission St&9th St W-FS/BZ","89","59","860","7","5","48","57","36","512","25","18","300"
"Mission St&11th St W-FS/BZ","108","51","917","7","2","53","66","35","543","35","14","321"
"Mission St&16th St SW-FS/BB","240","200","957","19","8","64","148","132","559","73","60","334"
"Mission St&18th St SW-FS/BZ","106","77","986","13","5","72","56","47","568","37","25","346"
"Mission St&22nd St SW-FS/BB","73","182","877","4","17","59","44","109","503","25","56","315"
"Mission St&24th St SW-FS/BZ","208","145","940","16","7","68","127","94","536","65","44","336"
"Mission St&26th St SW-FS/BZ","52","53","939","6","6","68","29","32","533","17","15","338"
"Mission St&30th St NW-NS/BB","88","160","867","5","14","59","53","93","493","30","53","315"
"Mission St&Richland Ave SW-FS/BZ","38","63","842","9","6","62","18","33","478","11","24","302"
"Mission St&Silver Ave W-FS/BZ","73","105","810","11","5","68","36","65","449","26","35","293"
"Mission St&Norton St W-FS/BZ","164","213","761","15","15","68","90","129","410","59","69","283"
"Mission St&Geneva Ave W-FS/BZ","274","248","787","18","23","63","149","144","415","107","81","309"
"Mission St&Lowell St W-FS/BZ","29","171","645","1","4","60","8","88","335","20","79","250"
"Mission St&Sickles Ave W-FS/BZ","6","162","489","1","12","49","2","85","252","3","65","188"
"Mission St&GoeThe St N-NS/BB","2","318","173","1","30","20","1","143","110","0","145","43"
"Mission St&San Jose Ave S-FS/BZ","0","173","0","0","20","0","0","110","0","0","43","0"
"Total Passenger Boardings ","2529","2531",,"193","193",,"1467","1468",,"869","870",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load"
"14L-Mission Limited to Ferry Plaza Weekday",,,,,,,,,,,,
"Mission St&Evergreen St E-FS/BB","221","3","588","32","0","76","121","1","338","68","2","174"
"Mission St&Acton St E-FS/BZ","140","5","723","26","0","102","83","4","417","31","1","204"
"Mission St&Lowell St E-FS/BZ","120","22","821","22","6","118","68","8","477","30","8","226"
"Mission St&Geneva Ave E-FS/BZ","225","201","845","20","34","104","158","99","536","47","68","205"
"Mission St&Brazil Ave S-NS/BZ","183","128","900","23","11","116","125","82","579","35","35","205"
"Mission St&Silver Ave S-NS/BZ","119","76","943","12","6","122","87","47","619","20","23","202"
"Mission St&Richland Ave SE-NS/BZ","46","32","957","8","4","126","32","19","632","6","9","199"
"Mission St&30th St NE-FS/BB","94","97","954","14","15","125","53","63","622","27","19","207"
"Mission St&26th St NE-FS/BZ","72","70","956","6","8","123","48","43","627","18","19","206"
"Mission St&24th St NE-FS/BZ","165","203","918","10","23","110","107","130","604","48","50","204"
"Mission St&22nd St NE-FS/BB","78","95","901","4","9","105","44","63","585","30","23","211"
"Mission St&18th St NE-FS/BZ","116","124","893","10","11","104","72","82","575","34","31","214"
"Mission St&16th St NE-FS/BZ","246","231","908","20","20","104","149","145","579","77","66","225"
"Mission St&11th St S-NS","59","161","806","4","17","91","37","96","520","18","48","195"
"Mission St&9th St E-FS/BZ","44","82","768","2","6","87","29","56","493","13","20","188"
"Mission St&7th St E-FS/BZ","25","143","650","3","10","80","15","102","406","7","31","164"
"Mission St&5th St S-NS/BZ","35","162","523","1","13","68","24","105","325","10","44","130"
"Mission St&4th St E-FS/BZ","32","152","403","0","15","53","21","101","245","11","36","105"
"Mission St&3rd St E-FS/BZ","13","196","220","1","38","16","4","126","123","8","32","81"
"Mission St&2nd St S-NS/BZ","6","41","185","0","3","13","3","30","96","3","8","76"
"Mission St&Fremont St S-MB/BZ","3","98","90","0","6","7","2","48","50","1","44","33"
"Main St&Market St NE-MB/BZ","0","37","53","0","3","4","0","25","25","0","9","24"
"Market St&Steuart St S-NS","0","22","31","0","2","2","0","5","20","0","15","9"
"Steuart St&Mission St W-NS/BZ","0","30","1","0","2","0","0","19","1","0","9","0"
"Total Passenger Boardings ","2042","2411",,"218","262",,"1282","1499",,"542","650",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,

