"Stop","Daily On","Daily Off","Daily Load","PM Peak On","PM Peak Off","PM Peak Load"
"14X-Mission Express to Daly City Weekday",,,,,,
"Steuart St&Mission St W-NS/BZ","62","0","192","62","0","192"
"Mission St&Spear St W-FS/BZ","57","1","248","57","1","248"
"Mission St&Beale St W-FS/BZ","61","1","308","61","1","308"
"Mission St&1st St N-NS/BZ","65","2","371","65","2","371"
"Mission St&2nd St W-FS/BZ","102","5","468","102","5","468"
"Mission St&3rd St W-FS/BZ","60","8","520","60","8","520"
"Mission St&4th St W-FS/BZ","142","19","643","142","19","643"
"Mission St&5th St W-FS/BZ","91","28","706","91","28","706"
"6th St&Harrison St W-NS","41","41","706","41","41","706"
"Alemany At St Mary's Park Overpass","2","10","698","2","10","698"
"Trumbull St&Congdon St NW-FS","6","51","653","6","51","653"
"Mission St&Trumbull St W-FS/BZ","24","51","626","24","51","626"
"Mission St&Silver Ave W-FS/BZ","50","45","631","50","45","631"
"Mission St&Francis St W-FS/BZ","33","62","602","33","62","602"
"Mission St&Norton St W-FS/BZ","79","63","618","79","63","618"
"Mission St&Ruth St W-FS/BZ","16","61","573","16","61","573"
"Mission St&Onondaga Ave N-NS/BZ","31","52","552","31","52","552"
"Mission St&Italy Ave W-MB/BZ","27","30","549","27","30","549"
"Mission St&Geneva Ave W-FS/BZ","157","132","574","157","132","574"
"Mission St&Mt Vernon Ave N-NS/BZ","6","36","544","6","36","544"
"Mission St&Foote Ave N-NS/BZ","8","69","483","8","69","483"
"Mission St&Lowell St W-FS/BZ","22","49","456","22","49","456"
"Mission St&Whittier St N-NS/BZ","11","52","415","11","52","415"
"Mission St&Lawrence Ave N-NS/BZ","2","57","360","2","57","360"
"Mission St&Sickles Ave W-FS/BZ","2","77","285","2","77","285"
"Mission St&GoeThe St N-NS/BB","1","168","118","1","168","118"
"Mission St&Flournoy St N-NS","5","84","39","5","84","39"
"Mission St&San Jose Ave S-FS/BZ","0","34","5","0","34","5"
"Total Passenger Boardings ","1163","1288",,"1163","1288",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"14X-Mission Express to Ferry Plaza Weekday",,,,,,
"Mission St&San Jose Ave S-FS/BZ","234","0","234","234","0","234"
"Mission St&Evergreen St E-FS/BB","164","1","397","164","1","397"
"Mission St&Acton St E-FS/BZ","133","3","527","133","3","527"
"Mission St&Oliver St E-FS/BZ","70","1","596","70","1","596"
"Mission St&Whittier St S-NS/BZ","68","12","652","68","12","652"
"Mission St&Lowell St E-FS/BZ","81","7","726","81","7","726"
"Mission St&Guttenberg St NE-FS/BZ","55","6","775","55","6","775"
"Mission St&Allison St S-NS/BZ","58","3","830","58","3","830"
"Mission St&Geneva Ave E-FS/BZ","118","209","739","118","209","739"
"Mission St&Italy Ave E-FS/BZ","26","12","753","26","12","753"
"Mission St&Russia Ave S-NS/BZ","60","34","779","60","34","779"
"Mission St&Persia Ave E-FS/BZ","51","19","811","51","19","811"
"Mission St&Brazil Ave S-NS/BZ","69","74","806","69","74","806"
"Mission St&Excelsior Ave E-FS/BZ","61","33","834","61","33","834"
"Mission St&Silver Ave S-NS/BZ","75","68","841","75","68","841"
"Mission St&Trumbull St SE-NS/BZ","25","8","858","25","8","858"
"Trumbull St&Congdon St SW-NS","33","14","877","33","14","877"
"Trumbull St&Stoneybrook Ave SW-NS","77","3","951","77","3","951"
"6th St&Bryant St E-NS/FL","23","68","906","23","68","906"
"Mission St&6th St E-FS/BZ","23","128","801","23","128","801"
"Mission St&5th St S-NS/BZ","16","95","722","16","95","722"
"Mission St&4th St E-FS/BZ","14","125","611","14","125","611"
"Mission St&3rd St E-FS/BZ","8","320","299","8","320","299"
"Mission St&2nd St S-NS/BZ","4","91","212","4","91","212"
"Mission St&Fremont St S-MB/BZ","1","98","115","1","98","115"
"Main St&Market St NE-MB/BZ","1","55","61","1","55","61"
"Market St&Steuart St S-NS","0","31","30","0","31","30"
"Steuart St&Mission St W-NS/BZ","0","28","2","0","28","2"
"Total Passenger Boardings ","1548","1546",,"1548","1546",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

