"Stop","Daily On","Daily Off","Daily Load","PM Peak On","PM Peak Off","PM Peak Load"
"16AX-Noriega A Express to 48th Avenue & Ortega Weekday",,,,,,
"4th St&Townsend St W-NS","0","0","0","0","0","0"
"5th  St North&Eddy St NE-FS","0","0","0","0","0","0"
"Eddy St&5th St North SW-NS/FL","0","0","2","0","0","2"
"5th  St North&Market St NW-NS/BZ","217","0","219","217","0","219"
"Turk St&Taylor St N-MB/BZ","44","0","263","44","0","263"
"Turk St&Jones St NW-FS/BZ","3","0","266","3","0","266"
"Turk St&Leavenworth St NW-FS/BZ","3","0","269","3","0","269"
"Turk St&Hyde St NW-FS/BZ","12","0","281","12","0","281"
"Turk St&Larkin St NE-NS/BZ","13","0","294","13","0","294"
"Turk St&Polk St NW-FS","6","1","299","6","1","299"
"Turk St&Van Ness Ave NW-FS","33","7","325","33","7","325"
"Fell St&Gough St NW-FS","35","0","360","35","0","360"
"Lincoln Way&19th Ave NW-FS/BZ","11","51","320","11","51","320"
"Lincoln Way&21st Ave NW-FS/BZ","1","15","306","1","15","306"
"Lincoln Way&23rd Ave NW-FS/BZ","1","11","296","1","11","296"
"Lincoln Way&25th Ave NW-FS/BZ","2","17","281","2","17","281"
"Lincoln Way&27th Ave NW-FS/BZ","0","1","280","0","1","280"
"Lincoln Way&29th Ave NW-FS/BZ","0","0","280","0","0","280"
"Lincoln Way&31st Ave NW-FS/BZ","0","4","276","0","4","276"
"Lincoln Way&33rd Ave NW-FS/BZ","2","16","262","2","16","262"
"Lincoln Way&35th Ave NW-FS/BZ","0","1","261","0","1","261"
"37th Ave&Lincoln Way SW-FS","1","12","250","1","12","250"
"Sunset Blvd&Irving St SW-FS","0","5","245","0","5","245"
"Sunset Blvd&Judah St NW-NS","8","19","234","8","19","234"
"Sunset Blvd&Kirkham St NW-NS","0","1","233","0","1","233"
"Sunset Blvd&Lawton St NW-NS","0","24","209","0","24","209"
"Sunset Blvd&Moraga St NW-NS","1","14","196","1","14","196"
"Sunset Blvd&Noriega St NW-NS","7","25","178","7","25","178"
"Noriega St&38th Ave NE-NS","1","20","159","1","20","159"
"Noriega St&40th Ave NE-NS/BZ","3","22","140","3","22","140"
"Noriega St&42nd Ave NE-NS/BZ","0","35","105","0","35","105"
"Noriega St&44th Ave NW-FS/BZ","1","42","64","1","42","64"
"Noriega St&46th Ave NW-FS/BZ","0","39","25","0","39","25"
"Noriega St&48th Ave NW-FS","0","11","14","0","11","14"
"Ortega St&48th Ave SW-NS/BZ","0","12","2","0","12","2"
"Total Passenger Boardings ","405","405",,"405","405",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"16AX-Noriega A Express to 4th Street & Market Weekday",,,,,,
"Ortega St&48th Ave SW-NS/BZ","53","0","54","53","0","54"
"47th Ave&Noriega St SE-NS/FL","49","0","103","49","0","103"
"Noriega St&46th Ave SW-NS/FL","46","0","149","46","0","149"
"Noriega St&45th Ave SW-NS/FL","18","0","167","18","0","167"
"Noriega St&43rd Ave SW-NS/BZ","42","0","209","42","0","209"
"Noriega St&41st Ave SW-NS/BZ","50","0","259","50","0","259"
"Noriega St&39th Ave SW-NS/BZ","29","5","283","29","5","283"
"Noriega St&Sunset Blvd SW-NS/BZ","17","9","291","17","9","291"
"Sunset Blvd&Moraga St SE-NS/FL","16","3","304","16","3","304"
"Sunset Blvd&Lawton St SE-NS/FL","11","2","313","11","2","313"
"Sunset Blvd&Kirkham St SE-NS/FL","7","0","320","7","0","320"
"Sunset Blvd&Judah St SE-NS/FL","21","8","333","21","8","333"
"Sunset Blvd&Irving St SE-NS/FL","11","0","344","11","0","344"
"36th Ave&Lincoln Way SE-NS/FL","19","0","363","19","0","363"
"Lincoln Way&33rd Ave SE-FS/BZ","25","2","386","25","2","386"
"Lincoln Way&30th Ave SE-FS/BZ","5","0","391","5","0","391"
"Lincoln Way&27th Ave SE-FS/BZ","6","0","397","6","0","397"
"Lincoln Way&25th Ave SE-FS/BZ","7","2","402","7","2","402"
"Lincoln Way&23rd Ave SW-NS/BZ","1","0","403","1","0","403"
"Lincoln Way&21st Ave SW-NS/BZ","28","3","428","28","3","428"
"Lincoln Way&19th Ave SE-FS/BZ","39","37","430","39","37","430"
"Oak St&Franklin St S-MB/FL","3","90","343","3","90","343"
"Golden Gate Ave&Van Ness Ave SW-NS","2","37","308","2","37","308"
"Golden Gate Ave&Polk St SE-FS/BZ","0","26","282","0","26","282"
"Golden Gate Ave&Hyde St SE-FS/BZ","1","21","262","1","21","262"
"Golden Gate Ave&Jones St SE-FS/BZ","1","5","258","1","5","258"
"Market bet. 5th & 6th St SE-MB/BZ","0","150","108","0","150","108"
"Market bet. 5th & 4th St SE-MB/BZ","0","40","68","0","40","68"
"4th St&Market St S-FS/BZ","0","68","0","0","68","0"
"4th St&Mission St S-FS/BZ","0","0","0","0","0","0"
"4th St&Townsend St W-NS","0","0","0","0","0","0"
"Total Passenger Boardings ","507","508",,"507","508",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

