"Stop","Daily On","Daily Off","Daily Load","School On","School Off","SchoolLoad","PM Peak On","PM Peak Off","PM Peak Load"
"30X-Marina Express to Beach & Scott Weekday",,,,,,,,,
"Howard St&The Embarcadero W-FS","6","0","17","3","0","4","3","0","13"
"Howard St&Spear St N-NS","163","12","168","12","2","14","151","10","154"
"Main St&Market St NE-MB/BZ","132","0","300","10","0","24","122","0","276"
"Pine St&Front St NE-NS","182","1","481","10","0","34","172","1","447"
"Pine St&Battery St NW-FS/BZ","107","1","587","9","0","43","98","1","544"
"Sansome St&California St NE-FS","97","2","682","7","0","50","90","2","632"
"Sansome St&Sacramento St NE-FS/BZ","48","0","730","8","0","58","40","0","672"
"Sansome St&Washington St NE-FS/BZ","40","3","767","1","0","59","39","3","708"
"Chestnut St&Van Ness Ave NW-FS","25","91","701","2","6","55","23","85","646"
"Chestnut St&Franklin St NW-FS/BZ","13","24","690","0","2","53","13","22","637"
"Chestnut St&Gough St NW-FS/BZ","4","35","659","0","5","48","4","30","611"
"Chestnut St&Octavia St NW-FS/BZ","11","43","627","0","2","46","11","41","581"
"Chestnut St&Laguna St NW-FS/BZ","6","86","547","1","3","44","5","83","503"
"Chestnut St&Buchanan St NE-NS","0","24","523","0","2","42","0","22","481"
"Chestnut St&Webster St NE-NS/BZ","1","28","496","0","0","42","1","28","454"
"Chestnut St&Fillmore St NE-NS/BZ","5","131","370","0","8","34","5","123","336"
"Chestnut St&Mallorca Way NW-FS/BZ","3","62","311","1","3","32","2","59","279"
"Chestnut St&Pierce St NW-FS/BZ","4","70","245","0","9","23","4","61","222"
"Chestnut St&Scott St NE-NS/BZ","3","66","182","0","9","14","3","57","168"
"Chestnut St&Divisadero St NE-NS","1","50","133","0","4","10","1","46","123"
"Chestnut St&Broderick St NE-NS/BZ","0","17","116","0","1","9","0","16","107"
"Broderick St&Francisco St SE-NS","0","7","109","0","0","9","0","7","100"
"Broderick St&Bay St SE-NS","0","12","97","0","1","8","0","11","89"
"Broderick St&North Point St SE-NS","0","19","78","0","0","8","0","19","70"
"Broderick St&Beach St SE-NS","0","35","43","0","5","3","0","30","40"
"Beach St&Divisadero St SE-NS","0","15","28","0","1","2","0","14","26"
"Beach St&Scott St S-MB/BZ","0","17","11","0","1","1","0","16","10"
"Total Passenger Boardings ","851","851",,"64","64",,"787","787",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","MiddayOn","Midday Off","Midday Load"
"30X-Marina Express to Howard & the Embarcadero Weekday",,,,,,,,,
"Beach St&Scott St S-MB/BZ","168","0","169","154","0","155","14","0","14"
"Scott St&North Point St NW-NS","39","0","208","37","0","192","2","0","16"
"North Point St&Divisadero St NE-NS","92","1","299","84","1","275","8","0","24"
"Divisadero St&Bay St NW-NS","66","1","364","63","1","337","3","0","27"
"Divisadero St&Francisco St NW-NS","66","0","430","58","0","395","8","0","35"
"Divisadero St&Chestnut St NW-NS","102","1","531","98","1","492","4","0","39"
"Chestnut St&Scott St SW-NS/BZ","86","0","617","84","0","576","2","0","41"
"Chestnut St&Pierce St SE-FS/BZ","125","2","740","116","2","690","9","0","50"
"Chestnut St&Fillmore St SW-NS/BZ","249","13","976","233","11","912","16","2","64"
"Chestnut St&Webster St SW-NS/BZ","68","2","1042","66","2","976","2","0","66"
"Chestnut St&Buchanan St SW-NS","52","0","1094","51","0","1027","1","0","67"
"Chestnut St&Laguna St SW-NS/BZ","102","6","1190","97","5","1119","5","1","71"
"Chestnut St&Octavia St SE-FS/BZ","63","3","1250","58","3","1174","5","0","76"
"Chestnut St&Gough St SE-FS/BZ","57","2","1305","53","2","1225","4","0","80"
"Chestnut St&Franklin St SE-FS/BZ","33","1","1337","32","1","1256","1","0","81"
"Chestnut St&Van Ness Ave SW-NS/BZ","121","68","1390","114","63","1307","7","5","83"
"Columbus Ave&Jackson St SW-FS/BZ","23","94","1319","21","87","1241","2","7","78"
"Clay St&Montgomery St SE-FS/BZ","33","290","1062","32","274","999","1","16","63"
"Sansome St&Clay St SW-FS/BZ","7","110","959","7","106","900","0","4","59"
"Sansome St&California St NW-NS/BZ","2","177","784","2","168","734","0","9","50"
"Bush St&Battery St NW-NS/SI","1","449","336","1","412","323","0","37","13"
"Beale St&Mission St W-MB/BZ","10","159","187","10","153","180","0","6","7"
"Howard St&Main St E-NS/BZ","0","68","119","0","65","115","0","3","4"
"Howard St&Spear St S-NS","3","111","11","3","107","11","0","4","0"
"Howard St&The Embarcadero S-NS","0","9","2","0","9","2","0","0","0"
"Total Passenger Boardings ","1568","1567",,"1474","1473",,"94","94",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,

