"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"31AX-Balboa A Express to Davis & Pine Weekday",,,,,,
"Cabrillo St&La Playa St NE-NS/SI","68","0","70","68","0","70"
"Cabrillo St&La Playa St SE-FS/BZ","0","0","70","0","0","70"
"Cabrillo St&47th Ave SW-NS","15","0","85","15","0","85"
"45th Ave&Cabrillo St NE-FS","27","0","112","27","0","112"
"45th Ave&Balboa St SE-NS","28","0","140","28","0","140"
"Balboa St&43rd Ave SW-NS","23","0","163","23","0","163"
"Balboa St&40th Ave SW-NS","41","1","203","41","1","203"
"Balboa St&37th Ave SW-NS","49","3","249","49","3","249"
"Balboa St&34th Ave SW-NS","29","5","273","29","5","273"
"Balboa St&32nd Ave SW-NS","19","8","284","19","8","284"
"Balboa St&30th Ave SW-NS","13","0","297","13","0","297"
"Balboa St&28th Ave SW-NS","24","0","321","24","0","321"
"Balboa St&25th Ave SE-FS/BZ","31","6","346","31","6","346"
"Balboa St&23rd Ave SW-NS","15","1","360","15","1","360"
"Balboa St&21st Ave SW-NS","25","0","385","25","0","385"
"Balboa St&19th Ave SW-NS/BZ","27","0","412","27","0","412"
"Balboa St&17th Ave SW-NS","15","1","426","15","1","426"
"Balboa St&14th Ave SW-NS","16","9","433","16","9","433"
"Balboa St&Park Presidio Blvd SW","1","1","433","1","1","433"
"Bush St&Sansome St S-MB/FL","3","184","252","3","184","252"
"Sansome St&Pine St SE-NS","0","98","154","0","98","154"
"California St&Battery St SE-FS","1","54","101","1","54","101"
"Davis St&Pine St W-MB","0","101","0","0","101","0"
"Total Passenger Boardings ","470","472",,"470","472",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
"Stop","Daily On","Daily Off","Daily Load","PM Peak On","PM Peak Off","PM Peak Load"
"31AX-Balboa A Express to Ocean Beach Weekday",,,,,,
"Davis St&Pine St W-MB","242","0","242","242","0","242"
"Pine St&Montgomery St NE-NS","149","1","390","149","1","390"
"Geary Blvd&Collins St NE-NS/BZ","0","0","390","0","0","390"
"Geary Blvd&Spruce St NE-NS/BZ","0","0","390","0","0","390"
"Geary Blvd&Commonwealth St NW-FS","0","0","390","0","0","390"
"Geary Blvd&Arguello Blvd NE-NS/BZ","0","0","390","0","0","390"
"Geary Blvd&3rd Ave NE-NS/BZ","0","0","390","0","0","390"
"Geary Blvd&6th Ave NE-NS/BZ","0","0","390","0","0","390"
"Geary Blvd&9th Ave NW-FS/BZ","0","0","390","0","0","390"
"Geary Blvd&12th Ave NE-NS/BZ","0","0","390","0","0","390"
"Balboa St&Park Presidio Blvd NW","6","58","338","6","58","338"
"Balboa St&17th Ave NE-NS","7","27","318","7","27","318"
"Balboa St&19th Ave NE-NS/BZ","1","20","299","1","20","299"
"Balboa St&21st Ave NE-NS","0","29","270","0","29","270"
"Balboa St&23rd Ave NE-NS","1","17","254","1","17","254"
"Balboa St&25th Ave NW-FS","9","33","230","9","33","230"
"Balboa St&28th Ave NE-NS/BZ","1","30","201","1","30","201"
"Balboa St&30th Ave NW-FS","1","13","189","1","13","189"
"Balboa St&32nd Ave NE-NS","1","28","162","1","28","162"
"Balboa St&35th Ave N-MB","4","27","139","4","27","139"
"Balboa St&37th Ave NE-NS","3","33","109","3","33","109"
"Balboa St&40th Ave NE-NS","0","22","87","0","22","87"
"Balboa St&43rd Ave NE-NS","2","18","71","2","18","71"
"45th Ave&Balboa St SW-FS","1","20","52","1","20","52"
"45th Ave&Cabrillo St NW-NS","0","12","40","0","12","40"
"Cabrillo St&47th Ave NE-NS","0","7","33","0","7","33"
"Cabrillo St&La Playa St NE-NS/SI","0","32","1","0","32","1"
"Total Passenger Boardings ","428","427",,"428","427",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

