"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"31BX-Balboa B Express to Davis & Pine Weekday",,,,,,
"Balboa St&12th Ave SW-NS","89","0","89","89","0","89"
"Balboa St&10th Ave SW-NS","46","0","135","46","0","135"
"Balboa St&8th Ave SW-NS","60","0","195","60","0","195"
"Balboa St&6th Ave SE-FS/BZ","71","1","265","71","1","265"
"Balboa St&4th Ave SW-NS/BZ","17","0","282","17","0","282"
"Turk St&Arguello Blvd SE-FS/BZ","56","2","336","56","2","336"
"Turk St&Stanyan St SE-FS/BZ","16","1","351","16","1","351"
"Turk St&Parker Ave SW-NS/BZ","16","0","367","16","0","367"
"Turk St&Chabot Ter SE-FS/BZ","2","6","363","2","6","363"
"Turk St&Roselyn Ter SE-FS/BZ","6","2","367","6","2","367"
"Masonic Ave&Turk St NE-FS/BZ","28","8","387","28","8","387"
"Masonic Ave&Geary Blvd SE-NS/BZ","5","4","388","5","4","388"
"Presidio Ave&Geary Blvd NE-FS/BZ","37","1","424","37","1","424"
"Bush St&Sansome St S-MB/FL","2","142","284","2","142","284"
"Sansome St&Pine St SE-NS","1","95","190","1","95","190"
"California St&Battery St SE-FS","1","102","89","1","102","89"
"Davis St&Pine St W-MB","0","88","1","0","88","1"
"Total Passenger Boardings ","453","452",,"453","452",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
"Stop","Daily On","Daily Off","Daily Load","PM Peak On","PM Peak Off","PM Peak Load"
"31BX-Balboa B Express to Park Presidio Weekday",,,,,,
"Davis St&Pine St W-MB","186","0","186","186","0","186"
"Pine St&Montgomery St NE-NS","107","0","293","107","0","293"
"Presidio Ave&Geary Blvd NW-NS/BZ","2","41","254","2","41","254"
"Masonic Ave&Geary Blvd SW-FS/BZ","2","9","247","2","9","247"
"Turk St&Masonic Ave NW-FS/BZ","2","30","219","2","30","219"
"Turk St&Roselyn Ter NE-NS/BZ","2","5","216","2","5","216"
"Turk St&Chabot Ter NW-FS/BZ","3","9","210","3","9","210"
"Turk St&Parker Ave NE-NS/BZ","2","10","202","2","10","202"
"Turk St&Stanyan St NW-FS/BZ","0","29","173","0","29","173"
"Balboa St&Arguello Blvd NW-FS/BZ","6","29","150","6","29","150"
"Balboa St&4th Ave NE-NS/BZ","0","35","115","0","35","115"
"Balboa St&6th Ave NW-FS/BZ","4","29","90","4","29","90"
"Balboa St&8th Ave NE-NS","0","34","56","0","34","56"
"Balboa St&10th Ave NE-NS","2","25","33","2","25","33"
"Balboa St&12th Ave NE-NS","0","18","15","0","18","15"
"Park Presidio Blvd&Balboa St NE-FS","0","12","3","0","12","3"
"Total Passenger Boardings ","318","315",,"318","315",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

