"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"38-Geary to Richmond District  Weekday",,,,,,,,,,,,,,,,,,,,,
"Trans Bay Terminal E-NS/SI","1176","0","1273","328","0","375","219","0","222","128","0","129","234","0","255","141","0","155","126","0","137"
"Fremont St&Market St E-NS/SI","785","28","2030","111","6","480","146","5","363","116","4","241","199","6","448","142","7","290","71","0","208"
"Market St&Sansome St W-FS/BZ","1077","87","3020","130","42","568","195","17","541","150","10","381","264","13","699","209","4","495","129","1","336"
"Market St&Montgomery St W-FS/BZ","1191","68","4143","189","20","737","222","16","747","135","10","506","286","12","973","211","7","699","148","3","481"
"Geary Blvd&Kearny St NW-FS/BZ","1183","120","5206","178","12","903","246","37","956","190","18","678","280","24","1229","200","27","872","89","2","568"
"Geary Blvd&Stockton St NE-NS/BB","1478","191","6493","135","18","1020","338","61","1233","244","38","884","424","55","1598","225","14","1083","112","5","675"
"Geary Blvd&Powell St NW-FS/BZ","1357","182","7668","103","45","1078","243","44","1432","212","28","1068","350","35","1913","288","18","1353","161","12","824"
"Geary Blvd&Taylor St NW-FS/BZ","481","306","7843","69","46","1101","104","68","1468","81","51","1098","83","70","1926","69","43","1379","75","28","871"
"Geary Blvd&Jones St NW-FS/BZ","319","311","7851","57","27","1131","98","72","1494","50","52","1096","54","91","1889","36","42","1373","24","27","868"
"Geary Blvd&Leavenworth St NW-FS/BZ","643","589","7905","189","38","1282","165","122","1537","92","95","1093","97","169","1817","63","102","1334","37","63","842"
"Geary Blvd&Hyde St NW-FS/BZ","249","296","7858","59","18","1323","72","62","1547","44","51","1086","37","69","1785","15","40","1309","22","56","808"
"Geary Blvd&Larkin St NW-FS/BZ","416","459","7815","90","35","1378","120","86","1581","52","73","1065","63","126","1722","52","84","1277","39","55","792"
"Geary Blvd&Van Ness Ave N-MB/BB","1216","835","8196","171","141","1408","300","190","1691","203","116","1152","272","198","1796","159","113","1323","111","77","826"
"Geary Blvd&Franklin St NE-NS/BZ","181","169","8208","22","29","1401","39","35","1695","28","24","1156","39","45","1790","26","29","1320","27","7","846"
"Geary Blvd&Gough St NW-FS/BZ","129","213","8124","15","29","1387","46","48","1693","28","34","1150","24","52","1762","7","34","1293","9","16","839"
"Geary Blvd&Laguna St NE-NS/BZ","233","496","7861","44","74","1357","88","140","1641","41","74","1117","40","113","1689","13","57","1249","7","38","808"
"Geary Blvd&Webster St NE-NS/BZ","131","306","7686","12","26","1343","30","78","1593","28","57","1088","28","79","1638","26","46","1229","7","20","795"
"Geary Blvd&Fillmore St NW-FS/BZ","933","975","7644","160","125","1378","246","238","1601","154","142","1100","170","228","1580","136","155","1210","67","87","775"
"Geary Blvd&Scott St NE-NS/BZ","101","270","7475","25","102","1301","21","56","1566","29","30","1099","20","41","1559","4","24","1190","2","17","760"
"Geary Blvd&Divisadero St NE-NS/BZ","676","853","7298","104","196","1209","224","259","1531","125","144","1080","125","131","1553","64","72","1182","34","51","743"
"Geary Blvd&Baker St NW-FS/BZ","117","329","7086","23","69","1163","25","66","1490","27","46","1061","27","64","1516","10","54","1138","5","30","718"
"Geary Blvd&Presidio Ave N-MB/BZ","540","1017","6609","55","223","995","161","281","1370","106","162","1005","116","186","1446","85","104","1119","17","61","674"
"Geary Blvd&Collins St NE-NS/BZ","93","194","6508","18","16","997","21","31","1360","18","32","991","20","43","1423","9","38","1090","7","34","647"
"Geary Blvd&Spruce St NE-NS/BZ","120","204","6424","23","21","999","39","47","1352","18","32","977","21","50","1394","9","34","1065","10","20","637"
"Geary Blvd&Commonwealth St NW-FS","46","133","6337","2","23","978","13","30","1335","9","21","965","8","30","1372","12","21","1056","2","8","631"
"Geary Blvd&Arguello Blvd NE-NS/BZ","330","531","6136","47","105","920","65","96","1304","100","92","973","73","109","1336","33","79","1010","12","50","593"
"Geary Blvd&3rd Ave NE-NS/BZ","109","352","5893","28","22","926","28","80","1252","15","52","936","19","83","1272","7","81","936","12","34","571"
"Geary Blvd&6th Ave NE-NS/BZ","609","954","5548","110","119","917","193","249","1196","114","165","885","113","206","1179","50","141","845","29","74","526"
