"Stop","Daily On","Daily Off","Daily Load","PM Peak On","PM Peak Off","PM Peak Load"
"38BX-Geary B Express to 25th Avenue Weekday",,,,,,
"Davis St&Pine St W-MB","286","0","291","286","0","291"
"Pine St&Montgomery St NE-NS","114","0","405","114","0","405"
"Presidio Ave&Geary Blvd NW-NS/BZ","17","54","368","17","54","368"
"Geary Blvd&Collins St NE-NS/BZ","4","20","352","4","20","352"
"Geary Blvd&Spruce St NE-NS/BZ","7","27","332","7","27","332"
"Geary Blvd&Commonwealth St NW-FS","8","21","319","8","21","319"
"Geary Blvd&Arguello Blvd NE-NS/BZ","16","56","279","16","56","279"
"Geary Blvd&3rd Ave NE-NS/BZ","6","34","251","6","34","251"
"Geary Blvd&6th Ave NE-NS/BZ","18","52","217","18","52","217"
"Geary Blvd&9th Ave NW-FS/BZ","9","46","180","9","46","180"
"Geary Blvd&12th Ave NE-NS/BZ","9","36","153","9","36","153"
"Geary Blvd&Park Presidio Blvd NW-FS","15","28","140","15","28","140"
"Geary Blvd&17th Ave NE-NS/BZ","12","41","111","12","41","111"
"Geary Blvd&20th Ave NE-NS/BZ","11","54","68","11","54","68"
"Geary Blvd&22nd Ave NE-NS/BZ","1","20","49","1","20","49"
"Geary Blvd&25th Ave NE-NS/BZ","0","45","4","0","45","4"
"Total Passenger Boardings ","533","534",,"533","534",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"38BX-Geary B Express to Davis & Pine Weekday",,,,,,
"Geary Blvd&25th Ave SW-NS/BZ","91","0","92","91","0","92"
"Geary Blvd&23rd Ave SW-NS/BZ","32","0","124","32","0","124"
"Geary Blvd&20th Ave SW-NS/BZ","77","2","199","77","2","199"
"Geary Blvd&17th Ave SW-NS/BZ","49","2","246","49","2","246"
"Geary Blvd&Park Presidio Blvd SW-NS","72","12","306","72","12","306"
"Geary Blvd&12th Ave SE-FS/BZ","38","0","344","38","0","344"
"Geary Blvd&9th Ave SE-FS/BZ","36","2","378","36","2","378"
"Geary Blvd&6th Ave SW-NS/BZ","50","20","408","50","20","408"
"Geary Blvd&03rd Ave SW-NS/BZ","32","2","438","32","2","438"
"Geary Blvd&Arguello Blvd SE-FS/BZ","41","11","468","41","11","468"
"Geary Blvd&Stanyan St SW-NS/BZ","12","2","478","12","2","478"
"Geary Blvd&Spruce St SW-NS/BZ","39","1","516","39","1","516"
"Geary Blvd&Collins St SE-FS/BZ","20","3","533","20","3","533"
"Geary Blvd&Masonic Ave SW-NS/BZ","8","20","521","8","20","521"
"Presidio Ave&Geary Blvd NE-FS/BZ","44","13","552","44","13","552"
"Bush St&Sansome St S-MB/FL","3","244","311","3","244","311"
"Sansome St&Pine St SE-NS","3","119","195","3","119","195"
"California St&Battery St SE-FS","0","73","122","0","73","122"
"Davis St&Pine St W-MB","0","122","0","0","122","0"
"Total Passenger Boardings ","647","648",,"647","648",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

