"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load"
"38L-Geary Limited to 48th Avenue & Point Weekday",,,,,,,,,,,,,,,
"Trans Bay Terminal E-NS/SI","843","0","875","129","0","145","254","0","266","134","0","134","326","0","330"
"Fremont St&Market St E-NS/SI","610","13","1472","34","1","178","166","1","431","132","4","262","278","7","601"
"Market St&Sansome St W-FS/BZ","775","40","2207","56","10","224","279","12","698","169","10","421","271","8","864"
"Market St&Montgomery St W-FS/BZ","792","41","2958","73","6","291","318","16","1000","149","7","563","252","12","1104"
"Geary Blvd&Kearny St NW-FS/BZ","802","63","3697","84","5","370","307","27","1280","159","14","708","252","17","1339"
"Geary Blvd&Stockton St NE-NS/BB","973","140","4530","60","9","421","381","56","1605","207","31","884","325","44","1620"
"Geary Blvd&Powell St NW-FS/BZ","813","138","5205","55","20","456","312","56","1861","195","31","1048","251","31","1840"
"Geary Blvd&Leavenworth St NW-FS/BZ","597","562","5240","96","34","518","276","207","1930","103","126","1025","122","195","1767"
"Geary Blvd&Van Ness Ave N-MB/BB","942","595","5587","84","59","543","419","214","2135","196","119","1102","243","203","1807"
"Geary Blvd&Laguna St NE-NS/BZ","240","464","5363","27","47","523","125","238","2022","33","75","1060","55","104","1758"
"Geary Blvd&Fillmore St NW-FS/BZ","717","755","5325","69","52","540","317","315","2024","143","151","1052","188","237","1709"
"Geary Blvd&Divisadero St NE-NS/BZ","571","881","5015","59","132","467","254","390","1888","113","165","1000","145","194","1660"
"Geary Blvd&Presidio Ave N-MB/BZ","414","763","4666","25","72","420","185","332","1741","100","132","968","104","227","1537"
"Geary Blvd&Spruce St NE-NS/BZ","107","243","4530","9","19","410","50","89","1702","18","47","939","30","88","1479"
"Geary Blvd&Arguello Blvd NE-NS/BZ","269","546","4253","20","101","329","85","174","1613","79","99","919","85","172","1392"
"Geary Blvd&6th Ave NE-NS/BZ","467","1002","3718","48","67","310","215","417","1411","103","211","811","101","307","1186"
"Geary Blvd&Park Presidio Blvd NW-FS","236","703","3251","37","51","296","79","257","1233","64","161","714","56","234","1008"
"Geary Blvd&20th Ave NE-NS/BZ","247","904","2594","22","46","272","115","366","982","52","204","562","58","288","778"
"Geary Blvd&25th Ave NE-NS/BZ","141","828","1907","12","54","230","59","290","751","30","188","404","40","296","522"
"Geary Blvd&33rd Ave NW-FS/BZ","91","703","1295","9","120","119","40","255","536","19","134","289","23","194","351"
"Geary Blvd&36th Ave NE-NS/BZ","14","242","1067","3","12","110","4","95","445","3","54","238","4","81","274"
"Geary Blvd&39th Ave NW-FS/BZ","4","222","849","0","9","101","3","64","384","0","59","179","1","90","185"
"Point Lobos Ave&42nd Ave NE-NS/BZ","10","421","438","1","71","31","6","189","201","2","73","108","1","88","98"
"Point Lobos Ave&44th Ave NE-NS","3","95","346","0","1","30","3","36","168","0","25","83","0","33","65"
"Point Lobos Ave&46th Ave NW-FS","1","78","269","0","5","25","1","22","147","0","25","58","0","26","39"
"48th Ave&Point Lobos Ave SW-FS/BZ","0","262","7","0","24","1","0","144","3","0","58","0","0","36","3"
"Total Passenger Boardings ","10679","10704",,"1012","1027",,"4253","4262",,"2203","2203",,"3211","3212",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load"
"38L-Geary Limited to Transbay Terminal Weekday",,,,,,,,,,,,,,,
"48th Ave&Point Lobos Ave SW-FS/BZ","360","0","365","64","0","65","152","0","155","83","0","84","61","0","61"
"Geary Blvd&45th Ave SW-NS","168","3","530","68","0","133","78","3","230","14","0","98","8","0","69"
"Geary Blvd&42nd Ave SE-FS/BZ","553","0","1083","133","0","266","210","0","440","89","0","187","121","0","190"
"Geary Blvd&39th Ave SW-NS/BZ","367","4","1446","127","1","392","174","2","612","34","1","220","32","0","222"
"Geary Blvd&36th Ave SW-NS/BZ","280","12","1714","90","3","479","124","7","729","37","1","256","29","1","250"
"Geary Blvd&33rd Ave SW-NS/BZ","765","105","2374","172","26","625","326","43","1012","190","20","426","77","16","311"
"Geary Blvd&25th Ave SW-NS/BZ","855","132","3097","274","22","877","367","54","1325","116","34","508","98","22","387"
"Geary Blvd&20th Ave SW-NS/BZ","911","209","3799","240","27","1090","425","104","1646","130","42","596","116","36","467"
"Geary Blvd&Park Presidio Blvd SW-NS","691","274","4216","200","74","1216","304","113","1837","108","58","646","79","29","517"
"Geary Blvd&6th Ave SW-NS/BZ","925","506","4635","230","77","1369","416","256","1997","135","97","684","144","76","585"
"Geary Blvd&Arguello Blvd SE-FS/BZ","501","243","4893","149","80","1438","193","86","2104","87","41","730","72","36","621"
"Geary Blvd&Spruce St SW-NS/BZ","235","111","5017","70","17","1491","101","56","2149","30","23","737","34","15","640"
"Geary Blvd&Presidio Ave SW-NS/BZ","725","398","5344","112","88","1515","343","185","2307","164","74","827","106","51","695"
"Geary Blvd&Divisadero St SW-NS/BZ","970","496","5818","190","144","1561","449","205","2551","165","83","909","166","64","797"
"Geary Blvd&Fillmore St S-MB/BZ","688","654","5852","146","102","1605","317","318","2550","123","140","892","102","94","805"
