"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load"
"39-Coit to Coit Tower Weekday",,,,,,,,,,,,,,,,,,
"Stockton St&Beach St SE-NS/BZ","60","0","62","3","0","3","23","0","23","19","0","19","13","0","14","2","0","3"
"Powell St&Beach St SW-FS","4","0","66","0","0","3","2","0","25","1","0","20","1","0","15","0","0","3"
"Powell St&North Point St SW-FS/BZ","44","1","109","1","0","4","16","0","41","14","1","33","10","0","25","3","0","6"
"Powell St&Francisco St NW-NS/BZ","22","2","129","0","0","4","8","1","48","4","0","37","10","1","34","0","0","6"
"Powell St&Lombard St SW-FS/BZ","10","2","137","2","0","6","4","1","51","3","0","40","1","1","34","0","0","6"
"Powell St&Filbert St NW-NS","3","10","130","1","0","7","1","3","49","0","4","36","1","3","32","0","0","6"
"Union St&Columbus Ave S-MB/BZ","12","49","93","0","1","6","5","17","37","3","17","22","3","13","22","1","1","6"
"Union St&Stockton St SW-NS","26","14","105","1","1","6","12","6","43","6","3","25","7","4","25","0","0","6"
"Stockton St&Greenwich St SE-NS","6","5","106","0","0","6","3","1","45","1","2","24","1","2","24","1","0","7"
"Stockton St&Lombard St SE-NS","2","5","103","0","1","5","1","1","45","1","0","25","0","3","21","0","0","7"
"Lombard St&Grant Ave SE-FS","2","19","86","1","0","6","1","6","40","0","4","21","0","4","17","0","5","2"
"Lombard St&Kearny St SW-NS","0","4","82","0","1","5","0","2","38","0","1","20","0","0","17","0","0","2"
"225 Telegraph Hill Blvd N-NS","0","13","69","0","0","5","0","6","32","0","3","17","0","4","13","0","0","2"
"Telegraph Hill Blvd&Greenwich St NW","0","0","69","0","0","5","0","0","32","0","0","17","0","0","13","0","0","2"
"115 Telegraph Hill Blvd W-NS/AB","1","6","64","0","1","4","0","0","32","0","3","14","1","2","12","0","0","2"
"Coit Tower W-NS/BZ","0","60","4","0","3","1","0","30","2","0","14","0","0","11","1","0","2","0"
"Total Passenger Boardings ","192","190",,"9","8",,"76","74",,"52","52",,"48","48",,"7","8",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load"
"39-Coit to Fisherman's Wharf Weekday",,,,,,,,,,,,,,,,,,
"Coit Tower W-NS/BZ","100","0","103","2","0","2","36","0","37","30","0","30","30","0","31","2","0","3"
"Telegraph Hill Blvd&Filbert St NE","0","0","103","0","0","2","0","0","37","0","0","30","0","0","31","0","0","3"
"Telegraph Hill Blvd&Greenwich St SE","1","0","104","0","0","2","0","0","37","0","0","30","1","0","32","0","0","3"
"225 Telegraph Hill Blvd S-NS","1","0","105","0","0","2","1","0","38","0","0","30","0","0","32","0","0","3"
"Lombard St&Kearny St NE-NS","0","0","105","0","0","2","0","0","38","0","0","30","0","0","32","0","0","3"
"Lombard St&Grant Ave NE-NS","4","1","108","0","0","2","2","0","40","2","1","31","0","0","32","0","0","3"
"Lombard St&Stockton St NE-NS","4","0","112","1","0","3","2","0","42","1","0","32","0","0","32","0","0","3"
"Stockton St&Greenwich St NW-NS","0","0","112","0","0","3","0","0","42","0","0","32","0","0","32","0","0","3"
"Stockton St&Filbert St NW-NS","3","2","113","1","0","4","2","1","43","0","1","31","0","0","32","0","0","3"
"Stockton St&Union St NW-NS","18","24","107","0","0","4","6","12","37","5","5","31","5","7","30","2","0","5"
"Union St&Grant Ave SW-NS","7","5","109","1","0","5","3","3","37","2","2","31","0","0","30","1","0","6"
"Union St&Kearny St SW-NS","6","2","113","1","0","6","2","0","39","1","0","32","1","1","30","1","1","6"
"Union St&Montgomery St SW-NS","5","14","104","2","1","7","2","5","36","1","1","32","0","4","26","0","3","3"
"Union St&Montgomery St NW-FS","0","0","104","0","0","7","0","0","36","0","0","32","0","0","26","0","0","3"
"Union St&Kearny St NE-NS","16","18","102","3","1","9","4","5","35","4","7","29","5","4","27","0","1","2"
"Union St&Grant Ave NE-NS","3","3","102","0","1","8","3","1","37","0","1","28","0","0","27","0","0","2"
"Union St&Columbus Ave  NE-NS/BZ","23","19","106","2","3","7","10","7","40","7","4","31","4","5","26","0","0","2"
"Powell St&Lombard St SE-NS","0","4","102","0","0","7","0","2","38","0","1","30","0","1","25","0","0","2"
"Powell St&Francisco St SE-NS/BZ","3","2","103","0","0","7","1","1","38","1","1","30","0","0","25","1","0","3"
"Powell St&Bay St SE-NS","3","13","93","1","1","7","1","4","35","0","4","26","1","3","23","0","1","2"
"Powell St&North Point St SE-NS","1","18","76","1","2","6","0","4","31","0","4","22","0","8","15","0","0","2"
"Stockton St&Beach St SE-NS/BZ","0","76","0","0","6","0","0","31","0","0","22","0","0","15","0","0","2","0"
"Total Passenger Boardings ","198","201",,"15","15",,"75","76",,"54","54",,"47","48",,"7","8",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,

