"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"71L-Haight-Noriega Limited to Ferry Plaza Weekday",,,,,,,,,
"Ortega St&48th Ave SW-NS/BZ","15","0","15","15","0","15"
"47th Ave&Noriega St SE-NS/FL","8","0","23","8","0","23"
"Noriega St&46th Ave SW-NS/FL","26","0","49","26","0","49"
"Noriega St&45th Ave SW-NS/FL","13","0","62","13","0","62"
"Noriega St&43rd Ave SW-NS/BZ","20","0","82","20","0","82"
"Noriega St&41st Ave SW-NS/BZ","24","3","103","24","3","103"
"Noriega St&39th Ave SW-NS/BZ","20","2","121","20","2","121"
"Noriega St&Sunset Blvd SW-NS/BZ","20","7","134","20","7","134"
"Noriega St&34th Ave SW-NS/BZ","22","4","152","22","4","152"
"Noriega St&31st Ave SW-NS/BZ","37","5","184","37","5","184"
"Noriega St&29th Ave SW-NS/BZ","12","2","194","12","2","194"
"Noriega St&27th Ave SW-NS/BZ","15","3","206","15","3","206"
"Noriega St&25th Ave SW-NS","16","11","211","16","11","211"
"22nd Ave&Noriega St NE-FS/BZ","34","5","240","34","5","240"
"22nd Ave&Moraga St SE-NS","19","1","258","19","1","258"
"22nd Ave&Lawton St SE-NS","18","2","274","18","2","274"
"22nd Ave&Kirkham St SE-NS","12","1","285","12","1","285"
"22nd Ave&Judah St SE-NS","13","31","267","13","31","267"
"22nd Ave&Irving St NE-FS/BZ","8","15","260","8","15","260"
"22nd Ave&Lincoln Way SE-NS","0","1","259","0","1","259"
"Lincoln Way&21st Ave SW-NS/BZ","4","20","243","4","20","243"
"Lincoln Way&19th Ave SE-FS/BZ","24","30","237","24","30","237"
"Lincoln Way&17th Ave SW-NS/BZ","3","1","239","3","1","239"
"Lincoln Way&15th Ave SW-NS/BZ","2","0","241","2","0","241"
"Lincoln Way&Funston Ave SW-NS/BZ","11","3","249","11","3","249"
"Lincoln Way&11th Ave SW-NS/BZ","3","1","251","3","1","251"
"Lincoln Way&9th Ave SE-FS/BZ","9","12","248","9","12","248"
"Lincoln Way&7th Ave SE-FS/BZ","1","1","248","1","1","248"
"Lincoln Way&5th Ave SE-FS/BZ","0","3","245","0","3","245"
"Lincoln Way&03rd Ave SE-FS/BZ","0","1","244","0","1","244"
"Lincoln Way&Arguello Blvd SW","0","12","232","0","12","232"
"Frederick St&Willard St SW-NS/BZ","2","0","234","2","0","234"
"Stanyan St&Frederick St NE-FS/BZ","2","3","233","2","3","233"
"Haight St&Stanyan St SE-FS/BZ","9","8","234","9","8","234"
"Haight St&Cole St SW-NS/BZ","34","3","265","34","3","265"
"Haight St&Clayton St SW-NS/BZ","34","4","295","34","4","295"
"Haight St&Masonic Ave SE-FS/BZ","65","11","349","65","11","349"
"Haight St&Divisadero St SE-FS/BZ","46","15","380","46","15","380"
"Haight St&Fillmore St SE-FS/BZ","29","28","381","29","28","381"
"Laguna St&Haight St NE-FS/BZ","10","7","384","10","7","384"
"Page St&Franklin St SW-NS/BZ","7","9","382","7","9","382"
"Market St&South Van Ness Av S-N/SI","19","60","341","19","60","341"
"Market St&9th St S-NS/SI","11","21","331","11","21","331"
"Market St&8th St S-NS/SI","11","31","311","11","31","311"
"Market St&7th St S-NS/SI","20","15","316","20","15","316"
"Market St&6th St S-NS/SI","14","17","313","14","17","313"
"Market St&5th St S-NS/SI","22","31","304","22","31","304"
"Market St&4th St S-NS/SI","8","37","275","8","37","275"
"Market St&3rd St S-NS/SI","6","85","196","6","85","196"
"Market St&New Montgomery St NS/SI","4","68","132","4","68","132"
"Market St&1st St S-NS/SI","3","76","59","3","76","59"
"Market St&Beale St E-FS/BZ","1","27","33","1","27","33"
"Spear St&Market St S-FS/BB","0","27","6","0","27","6"
"Steuart St&Mission St **/DS","0","3","3","0","3","3"
"Total Passenger Boardings ","766","763",,"766","763",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load"
"71L-Haight-Noriega Limited to Ortega & 48th Avenue Weekday",,,,,,,,,
"Steuart St&Mission St **/DS","8","0","23","1","0","1","7","0","22"
"Steuart St&Market St E-NS","49","18","54","3","1","3","46","17","51"
"Market St&Drumm St N-NS/BZ","75","0","129","6","0","9","69","0","120"
"Market St&Battery St N-NS/SI","111","2","238","4","0","13","107","2","225"
"Market St&2nd St N-NS/SI","99","7","330","4","1","16","95","6","314"
"Market St&Kearny St N-NS/SI","99","14","415","6","1","21","93","13","394"
"Market St&Stockton St N-NS/SI","128","37","506","10","3","28","118","34","478"
"Market St&5th  St N-NS/SI","111","40","577","10","5","33","101","35","544"
"Market St&Taylor St N-NS/SI","37","27","587","5","1","37","32","26","550"
"Market St&7th St N-NS/BZ","34","26","595","3","3","37","31","23","558"
"Market St&Hyde St N-NS/BZ","51","32","614","4","2","39","47","30","575"
"Market St&Larkin St N-NS/SI","31","21","624","1","2","38","30","19","586"
