"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load"
"80X-Gateway Express to Embarcadero Center Weekday",,,,,,,,,
"4th St & Townsend St E-MB/BZ","131","0","132","119","0","120","12","0","12"
"Main St&Howard St E-NS/FL","0","12","120","0","4","116","0","8","4"
"Main St&Market St NE-MB/BZ","1","8","113","0","6","110","1","2","3"
"Drumm St&California St NE-FS/BZ","0","4","109","0","3","107","0","1","2"
"Sacramento St&Davis St NE-NS/BZ","0","4","105","0","2","105","0","2","0"
"Sacramento St&Battery St NW-FS/BZ","0","12","93","0","12","93","0","0","0"
"Total Passenger Boardings ","132","40",,"119","27",,"13","13",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,

