"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"81X-Caltrain Express",,,,,,
"4th St & Townsend St E-MB/BZ","122","0","124","122","0","124"
"4th St&Townsend St S-FS","0","0","124","0","0","124"
"3rd St&Market St NE-MB/BZ","0","28","96","0","28","96"
"Kearny St&Geary Blvd NE-FS/BZ","3","14","85","3","14","85"
"Kearny St&Sutter St SE-NS/BZ","0","29","56","0","29","56"
"Bush St&Montgomery St SE-FS/BZ","0","32","24","0","32","24"
"Bush St&Battery St NW-NS/SI","0","16","8","0","16","8"
"Beale St&Mission St W-MB/BZ","0","8","0","0","8","0"
"Beale St&Howard St S-FS","0","0","0","0","0","0"
"Total Passenger Boardings ","125","127",,"125","127",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

