"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"88-BART Shuttle to Balboa Park BART Weekday",,,,,,
"655 John Muir Ave SW-MB","17","0","17","17","0","17"
"515 John Muir Dr SW-MB","3","0","20","3","0","20"
"1100 Lake Merced Blvd SE-NS","0","2","18","0","2","18"
"Lake Merced Blvd&Lake Merced Hills","9","0","27","9","0","27"
"Lake Merced Blvd&Brotherhood Way","0","0","27","0","0","27"
"Lake Merced Blvd&Higuera Ave NE-FS","0","0","27","0","0","27"
"Font Blvd&Arballo Dr W-NS","7","1","33","7","1","33"
"Font Blvd&Serrano Dr W-NS","11","0","44","11","0","44"
"Juan Bautista Cir&Bucareli Dr W-NS","5","0","49","5","0","49"
"Juan Bautista Cir & Font Blvd S-NS","3","0","52","3","0","52"
"Font Blvd&Gonzalez Dr W-NS","2","0","54","2","0","54"
"Font Blvd&Cambon Dr W-NS","0","0","54","0","0","54"
"Chumasero Dr&Font Blvd W-FS","10","1","63","10","1","63"
"Chumasero Dr&Brotherhood Way W-NS","2","0","65","2","0","65"
"Alemany Blvd&Crystal St SE-FS","7","1","71","7","1","71"
"Sickles Ave&Alemany Blvd S-FS","30","0","101","30","0","101"
"Mission St&Acton St E-FS/BZ","97","3","195","97","3","195"
"Mission St&Oliver St E-FS/BZ","59","1","253","59","1","253"
"Mission St&Whittier St S-NS/BZ","56","6","303","56","6","303"
"Mission St&Lowell St E-FS/BZ","50","3","350","50","3","350"
"Mission St&Guttenberg St NE-FS/BZ","33","0","383","33","0","383"
"Mission St&Allison St S-NS/BZ","33","6","410","33","6","410"
"Geneva Ave&Mission St N-FS/PS","52","48","414","52","48","414"
"Geneva Ave&Cayuga Ave E-NS/BZ","28","17","425","28","17","425"
"Geneva Ave&Delano Ave N-FS/BZ","1","20","406","1","20","406"
"Geneva Balboa Bart Station NE-MB/BZ","0","405","1","0","405","1"
"Total Passenger Boardings ","515","514",,"515","514",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
"Stop","Daily On","Daily Off","Daily Load","PM Peak On","PM Peak Off","PM Peak Load"
"88-BART Shuttle to Lake Merced Weekday",,,,,,
"Geneva Balboa Bart Station SW-MB/BZ","242","0","254","242","0","254"
"Geneva Ave&Delano Ave W-NS/BZ","3","0","257","3","0","257"
"Geneva Ave&Cayuga Ave S-FS/BZ","5","8","254","5","8","254"
"Geneva Ave&Mission St W-NS/BZ","46","85","215","46","85","215"
"Mission St&Mt Vernon Ave N-NS/BZ","13","24","204","13","24","204"
"Mission St&Foote Ave N-NS/BZ","1","30","175","1","30","175"
"Mission St&Lowell St W-FS/BZ","2","30","147","2","30","147"
"Mission St&Whittier St N-NS/BZ","1","36","112","1","36","112"
"Mission St&Lawrence Ave N-NS/BZ","2","75","39","2","75","39"
"Sickles Ave&Alemany Blvd E-NS","0","13","26","0","13","26"
"Chumasero Dr&Brotherhood Way N-FS","0","1","25","0","1","25"
"Chumasero Dr&Galindo Ave NE-FS","0","5","20","0","5","20"
"Chumasero Dr&Font Blvd S-NS","2","2","20","2","2","20"
"Font Blvd&Cambon Dr E-NS","0","1","19","0","1","19"
"Font Blvd&Gonzalez Dr E-NS","0","0","19","0","0","19"
"Font Blvd&Juan Bautista Cir E-NS","0","0","19","0","0","19"
"Juan Bautista Cir&Font Blvd NE-NS","0","1","18","0","1","18"
"Font Blvd&Serrano Dr E-NS","0","0","18","0","0","18"
"Font Blvd&Tapia Dr E-NS","0","0","18","0","0","18"
"Font Blvd&Arballo Dr E-NS","0","0","18","0","0","18"
"Lake Merced Blvd&Higuera Ave NW-NS","0","1","17","0","1","17"
"Lake Merced Blvd&Brotherhood Way NW","0","0","17","0","0","17"
"Lake Merced Blvd&Lake Merced Hill","0","2","15","0","2","15"
"1100 Lake Merced Blvd W-MB","0","2","13","0","2","13"
"515 John Muir Dr NE-MB","0","5","8","0","5","8"
"655 John Muir Dr NE-MB","0","6","2","0","6","2"
"Total Passenger Boardings ","317","327",,"317","327",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

