"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load"
"89-Laguna Honda to Forest Hill Station Weekday",,,,,,,,,,,,
"Laguna Honda Hospital Rear W-MB","68","0","71","21","0","23","38","0","38","9","0","10"
"Laguna Honda Main Hospital E-MB","10","21","60","1","10","14","8","7","39","1","4","7"
"Forest Hill Station NE-FS","0","0","60","0","0","14","0","0","39","0","0","7"
"Forest Hill Station NW-NS","0","58","2","0","13","1","0","39","0","0","6","1"
"Total Passenger Boardings ","78","79",,"22","23",,"46","46",,"10","10",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load"
"89-Laguna Honda to Laguna Honda Hospital Weekday",,,,,,,,,,,,
"Forest Hill Station NW-NS","85","3","98","16","0","18","52","0","63","17","3","17"
"Laguna Honda Hospital SE-FS","9","9","98","0","0","18","9","9","63","0","0","17"
"Laguna Honda Main Hospital E-MB","6","11","93","1","6","13","5","5","63","0","0","17"
"Laguna Honda Clarendon Hall SW-MB","1","1","93","0","0","13","0","1","62","1","0","18"
"Laguna Honda Hospital Rear W-MB","0","73","20","0","12","1","0","45","17","0","16","2"
"Total Passenger Boardings ","101","97",,"17","18",,"66","60",,"18","19",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,

