"Stop","Daily On","Daily Off","Daily Load","Owl On","Owl Off","Owl Load"
"90-San Bruno Owl to Arleta & Bayshore Weekday",,,,,,
"Van Ness Ave&North Point St SW-FS","13","0","19","13","0","19"
"Van Ness Ave&Chestnut St NW-NS/BZ","10","0","29","10","0","29"
"Van Ness Ave&Greenwich St SW-FS","2","0","31","2","0","31"
"Van Ness Ave&Union St NW-NS/BZ","7","0","38","7","0","38"
"Van Ness Ave&Vallejo St SW-FS/BZ","7","0","45","7","0","45"
"Van Ness Ave&Pacific Ave NW-NS/BZ","5","0","50","5","0","50"
"Van Ness Ave&Jackson St SW-FS/BZ","5","0","55","5","0","55"
"Van Ness Ave&Sacramento St NW-NS","6","0","61","6","0","61"
"Van Ness Ave&Pine St NW-NS/BZ","3","2","62","3","2","62"
"Van Ness Ave&Sutter St SW-FS/BZ","1","2","61","1","2","61"
"Van Ness Ave&Geary Blvd NW-NS/BZ","6","7","60","6","7","60"
"Van Ness Ave&O'Farrell St SW-FS","12","3","69","12","3","69"
"Van Ness Ave&Eddy St SW-FS/BZ","8","6","71","8","6","71"
"Van Ness Ave&Mcallister St SW-FS","3","2","72","3","2","72"
"Van Ness Ave&Grove St SW-FS/BZ","0","0","72","0","0","72"
"Van Ness Ave&Oak St NW-NS/BZ","40","24","88","40","24","88"
"11th St&Mission St S-FS/BZ","8","5","91","8","5","91"
"11th St&Howard St S-FS/BZ","0","1","90","0","1","90"
"11th St&Folsom St S-FS/BZ","2","0","92","2","0","92"
"11th St&Harrison St S-FS/BZ","2","0","94","2","0","94"
"Division St&Bryant St SE-FS","0","1","93","0","1","93"
"Potrero Ave&Alameda St NW-NS","1","2","92","1","2","92"
"Potrero Ave&16th St SW-FS/BZ","14","4","102","14","4","102"
"Potrero Ave&17th St SW-FS/BZ","0","1","101","0","1","101"
"Potrero Ave&18th St SW-FS/BZ","0","1","100","0","1","100"
"Potrero Ave&20th St SW-FS/BZ","0","1","99","0","1","99"
"Potrero Ave&21st St SW-FS/BZ","1","0","100","1","0","100"
"Potrero Ave&22nd St SW-FS/BZ","0","9","91","0","9","91"
"Potrero Ave&23rd St SW-FS/BZ","1","8","84","1","8","84"
"Potrero Ave&24th St SW-FS/BZ","4","11","77","4","11","77"
"Potrero Ave&25th St SW-FS/BZ","0","5","72","0","5","72"
"228 Bay Shore Blvd W-FS/BZ","0","22","50","0","22","50"
"Bay Shore Blvd&Oakdale Ave N-NS/BZ","1","5","46","1","5","46"
"380 Bay Shore Blvd N-NS","0","0","46","0","0","46"
"Bay Shore Blvd&Cortland Ave NW-NS","3","1","48","3","1","48"
"Bay Shore Blvd&Alemany Blvd SW-FS","0","0","48","0","0","48"
"Bay Shore Blvd&Augusta St NW-NS","0","5","43","0","5","43"
"Bay Shore Blvd&Silver Ave NW-NS","0","4","39","0","4","39"
"San Bruno Ave&Silver Ave S-FS/BZ","2","3","38","2","3","38"
"San Bruno Ave&Felton St W-NS/BZ","0","1","37","0","1","37"
"San Bruno Ave&Bacon St SW-NS/BZ","2","4","35","2","4","35"
"San Bruno Ave&Woolsey St W-NS/BZ","0","3","32","0","3","32"
"San Bruno Ave&Dwight St W-NS/BZ","1","5","28","1","5","28"
"San Bruno Ave&Mansell St W-NS","1","1","28","1","1","28"
"San Bruno Ave&Ward St SW-MI/BZ","0","0","28","0","0","28"
"San Bruno Ave&Wilde Ave W-NS/BZ","0","2","26","0","2","26"
"3800 San Bruno Ave N-MB","0","4","22","0","4","22"
"San Bruno Ave&Somerset St NW-NS","0","0","22","0","0","22"
