"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"9BX-Line to Kearny & North Point",,,,,,
"Phelan Loop At Sfcc N-MB","66","0","331","66","0","331"
"Ocean Ave&Geneva Ave SW-NS/SI","16","0","347","16","0","347"
"Geneva Ave&Howth St S-FS","3","0","350","3","0","350"
"Geneva Balboa Bart Station SW-MB/BZ","74","51","373","74","51","373"
"Geneva Ave&Delano Ave W-NS/BZ","1","0","374","1","0","374"
"Geneva & Cayuga S-FS/BZ","12","6","380","12","6","380"
"Geneva Ave&Mission St W-NS/BZ","81","35","426","81","35","426"
"Geneva Ave&Paris St W-NS","10","1","435","10","1","435"
"Geneva Ave&Madrid St S-FS/BZ","6","3","438","6","3","438"
"Geneva Ave&Naples St S-FS/BZ","31","11","458","31","11","458"
"Geneva Ave&Munich St W-NS/BZ","27","11","474","27","11","474"
"1650 Geneva Ave S-MB","2","1","475","2","1","475"
"1750 Geneva Ave S-FS/BZ","4","2","477","4","2","477"
"Geneva Ave&Carter SE-FS/BZ","23","8","492","23","8","492"
"Geneva Ave&Esquina Dr W-NS/BZ","0","0","492","0","0","492"
"Santos St&Geneva Ave E-FS/BZ","50","30","512","50","30","512"
"Santos St&Velasco Ave S-NS","25","5","532","25","5","532"
"Santos St&Brookdale Ave SE-NS","37","4","565","37","4","565"
"Sunnydale Ave&Santos St SE-FS","15","2","578","15","2","578"
"Hahn St&Sunnydale Ave E-FS","60","14","624","60","14","624"
"Visitacion Ave&Sawyer St SW-NS","72","19","677","72","19","677"
"Visitacion Ave&Britton St W-NS","51","3","725","51","3","725"
"Visitacion Ave&Schwerin St W-NS","79","33","771","79","33","771"
"Visitacion Ave&Cora St W-NS","36","4","803","36","4","803"
"Visitacion Ave&Rutland St W-NS","38","13","828","38","13","828"
"Rutland St&Leland Ave S-NS","50","17","861","50","17","861"
"Rutland St&Arleta Ave S-NS","70","3","928","70","3","928"
"Arleta Ave&Alpha St W-NS","28","12","944","28","12","944"
"Arleta Ave&Bay Shore Blvd W-NS","103","92","955","103","92","955"
"Bayshore Blvd&Blanken Ave SE-NS/BZ","42","7","990","42","7","990"
"Bryant St&6th St NE-FS/BZ","9","53","946","9","53","946"
"Bryant St&5th St E-FS/BZ","6","6","946","6","6","946"
"Bryant St&4th St S-NS","6","14","938","6","14","938"
"3rd St&Perry St E-NS/BZ","27","61","904","27","61","904"
"3rd St&Folsom St N-FS/BZ","14","28","890","14","28","890"
"3rd St&Howard St E-NS/BZ","15","28","877","15","28","877"
"3rd St&Market St NE-MB/BZ","196","225","848","196","225","848"
"Kearny St&Geary Blvd NE-FS/BZ","137","63","922","137","63","922"
"Kearny St&Sutter St SE-NS/BZ","43","33","932","43","33","932"
"Kearny St&Bush St NE-FS/BZ","20","17","935","20","17","935"
"Kearny St&California St NE-FS/BZ","20","102","853","20","102","853"
"Kearny St&Clay St NE-FS/BZ","32","158","727","32","158","727"
"Kearny St&Jackson St SE-NS/BZ","5","62","670","5","62","670"
"Columbus Ave&Kearny St N-FS/BZ","27","100","597","27","100","597"
"Columbus Ave&Broadway N-FS/BZ","18","84","531","18","84","531"
"Columbus Ave&Green St E-NS/BZ","18","91","458","18","91","458"
"Columbus Ave&Union St NE-FS/BZ","34","98","394","34","98","394"
"Powell St&Lombard St SE-NS","3","18","379","3","18","379"
"Powell St&Francisco St SE-NS/BZ","2","257","124","2","257","124"
"Powell St&Bay St SE-NS","0","72","52","0","72","52"
"Bay St&Midway St SE-FS","0","4","48","0","4","48"
"Kearny St&North Point St SE-NS/BZ","0","44","4","0","44","4"
"Total Passenger Boardings ","1744","2005",,"1744","2005",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
,,,,,,
,,,,,,
"Stop","Daily On","Daily Off","Daily Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load"
"9BX-Line to Phelan Loop",,,,,,,,,
"Kearny St&North Point St SE-NS/BZ","56","0","451","7","0","73","49","0","378"
"North Point St&Kearny St NW-FS/BZ","0","0","451","0","0","73","0","0","378"
"North Point St&Stockton St NE-NS","54","1","504","17","0","90","37","1","414"
"Powell St&North Point St SW-FS/BZ","121","3","622","14","1","103","107","2","519"
