"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"9X-Bayshore Express to Geneva & Mission Weekday",,,,,,,,,,,,,,,,,,,,,
"Phelan Loop At Sfcc N-MB","658","0","2193","14","0","86","205","0","697","105","0","356","235","0","745","69","0","196","30","0","113"
"Ocean Ave&Geneva Ave SW-NS/SI","302","2","2493","4","0","90","115","2","810","64","0","420","77","0","822","36","0","232","6","0","119"
"Geneva Ave&Howth St S-FS","22","3","2512","0","0","90","10","2","818","3","1","422","8","0","830","1","0","233","0","0","119"
"Geneva Balboa Bart Station SW-MB/BZ","1820","186","4146","20","10","100","285","80","1023","236","30","628","933","44","1719","238","12","459","108","10","217"
"Geneva Ave&Delano Ave W-NS/BZ","24","2","4168","2","0","102","6","0","1029","3","0","631","11","1","1729","1","1","459","1","0","218"
"Geneva & Cayuga S-FS/BZ","73","52","4189","2","0","104","24","8","1045","15","7","639","24","28","1725","3","9","453","5","0","223"
"Cayuga Ave&Onondaga Ave","28","0","28",,,,,,,"28","0","28",,,,,,,,,
"Geneva Ave&Mission St W-NS/BZ","994","975","4236","18","11","111","275","162","1158","164","133","698","378","514","1589","95","105","443","64","50","237"
"Geneva Ave&Paris St W-NS","215","119","4332","3","1","113","90","21","1227","34","23","709","72","59","1602","12","12","443","4","3","238"
"Geneva Ave&Madrid St S-FS/BZ","32","124","4240","2","0","115","15","18","1224","5","10","704","6","71","1537","2","19","426","2","6","234"
"Geneva Ave&Naples St S-FS/BZ","114","322","4032","7","3","119","55","36","1243","20","35","689","19","188","1368","2","47","381","11","13","232"
"Geneva Ave&Munich St W-NS/BZ","143","316","3859","8","2","125","59","58","1244","32","38","683","30","160","1238","7","42","346","7","16","223"
"1650 Geneva Ave S-MB","10","35","3834","0","0","125","5","12","1237","1","2","682","4","18","1224","0","2","344","0","1","222"
"1750 Geneva Ave S-FS/BZ","26","145","3715","3","1","127","10","32","1215","4","25","661","3","68","1159","0","14","330","6","5","223"
"Geneva Ave&Carter SE-FS/BZ","52","255","3512","0","1","126","23","55","1183","5","43","623","15","117","1057","2","31","301","7","8","222"
"Geneva Ave&Esquina Dr W-NS/BZ","1","1","3512","0","0","126","0","0","1183","0","1","622","0","0","1057","0","0","301","1","0","223"
"Santos St&Geneva Ave E-FS/BZ","149","523","3138","13","8","131","44","123","1104","18","94","546","44","208","893","12","56","257","18","34","207"
"Santos St&Velasco Ave S-NS","63","154","3047","3","2","132","25","31","1098","9","32","523","15","61","847","2","23","236","9","5","211"
"Santos St&Brookdale Ave SE-NS","60","162","2945","6","1","137","19","38","1079","6","29","500","18","68","797","3","20","219","8","6","213"
"Sunnydale Ave&Santos St SE-FS","29","30","2944","1","0","138","9","4","1084","3","8","495","8","9","796","4","5","218","4","4","213"
"Hahn St&Sunnydale Ave E-FS","105","200","2849","8","2","144","47","54","1077","20","34","481","19","92","723","5","14","209","6","4","215"
"Visitacion Ave&Sawyer St SW-NS","100","161","2788","7","2","149","48","24","1101","18","42","457","13","68","668","2","21","190","12","4","223"
"Visitacion Ave&Britton St W-NS","72","76","2784","5","0","154","41","16","1126","8","16","449","11","36","643","0","7","183","7","1","229"
"Visitacion Ave&Schwerin St W-NS","126","157","2753","7","2","159","54","38","1142","26","32","443","23","59","607","6","21","168","10","5","234"
"Visitacion Ave&Cora St W-NS","43","44","2752","4","1","162","30","6","1166","5","11","437","3","19","591","0","5","163","1","2","233"
"Visitacion Ave&Rutland St W-NS","91","88","2755","9","2","169","41","13","1194","13","23","427","14","39","566","3","9","157","11","2","242"
"Rutland St&Leland Ave S-NS","71","104","2722","3","1","171","34","38","1190","13","32","408","15","25","556","1","7","151","5","1","246"
"Rutland St&Arleta Ave S-NS","110","167","2665","7","1","177","57","38","1209","17","29","396","14","82","488","3","12","142","12","5","253"
"Arleta Ave&Alpha St W-NS","40","40","2665","2","1","178","22","18","1213","2","6","392","5","12","481","1","1","142","8","2","259"
"San Bruno Ave&Arleta Ave NE-FS/BZ","337","496","2495","14","23","169","126","130","1209","40","67","354","112","193","400","19","23","138","26","60","225"
"Arleta Ave&Bay Shore Blvd W-NS","2","5","8",,,,,,,"2","5","8",,,,,,,,,
"San Bruno Ave&Somerset St  E-MI","9","8","2504","0","0","169","7","3","1213","1","3","360","1","1","400","0","1","137","0","0","225"
"3801 San Bruno Ave SE-MB","20","39","2485","2","0","171","12","10","1215","2","9","353","3","18","385","1","1","137","0","1","224"
"San Bruno Ave&Wilde Ave N-FS/BZ","85","36","2534","7","0","178","44","11","1248","12","9","356","12","11","386","3","4","136","7","1","230"
"San Bruno Ave&Ward St NE-FS/BZ","20","11","2543","0","0","178","15","3","1260","1","0","357","3","5","384","1","1","136","0","2","228"
"San Bruno Ave&Mansell St E-NS/BZ","120","54","2609","8","2","184","62","19","1303","26","12","371","12","14","382","4","5","135","8","2","234"
"San Bruno Ave&Paul Ave SE-NS","222","59","2772","14","3","195","104","10","1397","30","12","389","39","24","397","9","4","140","26","6","254"
"San Bruno Ave&Wayland St E-NS/BZ","130","54","2848","10","1","204","71","19","1449","15","9","395","16","19","394","2","2","140","16","4","266"
"Bacon St&San Bruno Ave E-FS/BZ","332","275","2905","26","12","218","147","99","1497","52","70","377","74","64","404","12","18","134","21","12","275"
"Bay Shore Blvd&Carroll Ave SE-NS","131","95","2941","9","2","225","64","32","1529","11","19","369","26","33","397","7","6","135","14","3","286"
"Bay Shore Blvd&Silver Ave N-FS","352","160","3133","36","4","257","172","52","1649","48","27","390","50","55","392","18","9","144","28","13","301"
"Bryant St&6th St NE-FS/BZ","103","120","3116","3","7","253","49","58","1640","21","21","390","25","18","399","1","6","139","4","10","295"
"Bryant St&5th St E-FS/BZ","45","18","3143","1","2","252","8","8","1640","3","3","390","31","3","427","0","0","139","2","2","295"
"Bryant St&4th St S-NS","9","24","3128","0","0","252","3","12","1631","3","5","388","0","6","421","2","0","141","1","1","295"
"3rd St&Perry St E-NS/BZ","84","144","3068","2","25","229","27","86","1572","23","9","402","19","11","429","5","4","142","8","9","294"
"3rd St&Folsom St N-FS/BZ","76","78","3066","5","6","228","31","50","1553","15","8","409","13","8","434","10","2","150","2","4","292"
"3rd St&Howard St E-NS/BZ","75","84","3057","1","9","220","26","35","1544","18","12","415","20","11","443","4","9","145","6","8","290"
"3rd St&Market St NE-MB/BZ","704","918","2843","37","73","184","281","406","1419","144","149","410","138","131","450","65","48","162","39","111","218"
"Kearny St&Geary Blvd NE-FS/BZ","547","163","3227","26","11","199","173","65","1527","123","27","506","143","22","571","55","5","212","27","33","212"
"Kearny St&Sutter St SE-NS/BZ","190","65","3352","9","8","200","66","38","1555","31","6","531","55","6","620","25","2","235","4","5","211"
"Kearny St&Bush St NE-FS/BZ","71","74","3349","4","7","197","33","34","1554","15","7","539","12","9","623","6","1","240","1","16","196"
"Kearny St&California St NE-FS/BZ","76","282","3143","2","14","185","27","152","1429","17","50","506","19","45","597","10","10","240","1","11","186"
"Kearny St&Clay St NE-FS/BZ","127","701","2569","2","51","136","56","401","1084","32","74","464","19","94","522","6","37","209","12","44","154"
"Kearny St&Jackson St SE-NS/BZ","71","413","2227","5","28","113","39","235","888","13","66","411","9","59","472","5","15","199","0","10","144"
"Kearny St&Pacific Ave NE-FS","0","5","3",,,,,,,"0","5","3",,,,,,,,,
"Columbus Ave&Kearny St N-FS/BZ","52","372","1899","2","23","92","20","182","726","18","63","358","9","65","416","2","27","174","1","12","133"
"Columbus Ave&Broadway N-FS/BZ","56","443","1512","2","23","71","25","175","576","18","75","301","7","96","327","1","40","135","3","34","102"
"Columbus Ave&Green St E-NS/BZ","141","480","1173","4","19","56","69","196","449","36","88","249","21","107","241","7","43","99","4","27","79"
"Columbus Ave&Union St NE-FS/BZ","120","284","1009","4","19","41","64","103","410","21","58","212","17","55","203","11","27","83","3","22","60"
"Powell St&Lombard St SE-NS","14","94","929","0","4","37","9","38","381","5","23","194","0","22","181","0","6","77","0","1","59"
"Powell St&Francisco St SE-NS/BZ","8","159","778","0","7","30","2","46","337","3","50","147","2","40","143","1","7","71","0","9","50"
"Powell St&Bay St SE-NS","10","363","425","1","16","15","2","147","192","4","73","78","1","69","75","0","33","38","2","25","27"
"Bay St&Midway St SE-FS","0","49","376","0","3","12","0","20","172","0","11","67","0","8","67","0","4","34","0","3","24"
"Kearny St&North Point St SE-NS/BZ","0","370","6","0","12","0","0","172","0","0","67","0","0","62","5","0","34","0","0","23","1"
"Total Passenger Boardings ","9912","11438",,"394","466",,"3482","3974",,"1680","1928",,"2925","3430",,"802","929",,"629","711",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"9X-Bayshore Express to Kearny & Pacific Weekday",,,,,,,,,,,,,,,,,,,,,
"Kearny St&North Point St SE-NS/BZ","306","0","1815","47","0","357","146","0","793","53","0","421","3","0","19","33","0","122","24","0","103"
"North Point St&Kearny St NW-FS/BZ","0","0","1815","0","0","357","0","0","793","0","0","421","0","0","19","0","0","122","0","0","103"
"North Point St&Stockton St NE-NS","92","2","1905","8","0","365","26","1","818","19","1","439","0","0","19","22","0","144","17","0","120"
"Powell St&North Point St SW-FS/BZ","260","11","2154","27","1","391","99","3","914","63","5","497","8","1","26","46","1","189","17","0","137"
"Powell St&Francisco St NW-NS/BZ","275","16","2413","58","0","449","80","1","993","96","12","581","7","0","33","21","3","207","13","0","150"
"Powell St&Lombard St SW-FS/BZ","111","17","2507","32","2","479","44","7","1030","25","7","599","1","0","34","5","1","211","4","0","154"
"Powell St&Filbert St NW-NS","65","30","2542","8","5","482","28","11","1047","22","10","611","2","1","35","4","3","212","1","0","155"
"Columbus Ave&Union St NW-NS/BZ","383","76","2849","76","9","549","162","29","1180","89","33","667","4","1","38","30","3","239","22","1","176"
"Stockton St&Columbus Ave SW-FS/BZ","741","142","3448","108","17","640","374","71","1483","143","33","777","7","3","42","49","14","274","60","4","232"
"Stockton St&Pacific Ave W-MB/BB","1014","184","4278","173","27","786","558","101","1940","153","37","893","12","3","51","63","10","327","55","6","281"
"Stockton St&Washington St W-MB","636","145","4769","137","20","903","343","74","2209","68","31","930","9","2","58","56","12","371","23","6","298"
"Stockton St&Sacramento St W-MB","448","211","5006","120","59","964","155","97","2267","57","32","955","8","1","65","80","17","434","28","5","321"
"Stockton St&Sutter St NW-NS/BB","84","230","4860","21","43","942","31","70","2228","18","69","904","0","2","63","8","25","417","6","21","306"
"Stockton St&Geary Blvd NW-NS/SI","104","440","4524","16","85","873","33","202","2059","23","65","862","1","10","54","19","48","388","12","30","288"
"4th St&Market St S-FS/BZ","844","1506","3862","117","429","561","312","571","1800","180","230","812","26","18","62","133","138","383","76","120","244"
"4th St&Mission St S-FS/BZ","139","101","3900","20","18","563","56","53","1803","20","9","823","4","2","64","29","14","398","10","5","249"
"4th St&Howard St S-FS/BZ","64","150","3814","12","42","533","20","72","1751","15","19","819","1","1","64","14","9","403","2","7","244"
"4th St&Folsom St S-FS/BZ","53","168","3699","6","48","491","26","75","1702","12","21","810","2","3","63","2","10","395","5","11","238"
"Harrison St&4th St W-FS/BZ","24","61","3662","5","33","463","7","12","1697","8","9","809","2","1","64","2","5","392","0","1","237"
"Harrison St&5th St W-FS/BZ","19","23","3658","3","5","461","6","10","1693","5","6","808","0","1","63","2","1","393","3","0","240"
"Harrison St&6th St W-FS/BZ","143","114","3687","22","38","445","77","50","1720","34","17","825","2","1","64","5","4","394","3","4","239"
"San Bruno Ave&Felton St W-NS/BZ","214","744","3157","43","88","400","104","352","1472","47","182","690","6","12","58","11","76","329","3","34","208"
"San Bruno Ave&Bacon St SW-NS/BZ","178","543","2792","62","76","386","57","259","1270","47","116","621","1","13","46","8","54","283","3","25","186"
"San Bruno Ave&Woolsey St W-NS/BZ","27","94","2725","6","6","386","11","48","1233","7","22","606","0","2","44","1","11","273","2","5","183"
"San Bruno Ave&Dwight St W-NS/BZ","43","203","2565","13","28","371","16","67","1182","12","45","573","0","8","36","0","31","242","2","24","161"
"San Bruno Ave&Mansell St W-NS","71","191","2445","16","39","348","29","92","1119","16","40","549","1","2","35","7","16","233","2","2","161"
"San Bruno Ave&Ward St SW-MI/BZ","3","31","2417","1","4","345","2","9","1112","0","10","539","0","1","34","0","6","227","0","1","160"
