"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Night On","Night Off","Night Load"
"30X-Marina Express to Howard & the Embarcadero Weekday",,,,,,,,,,,,,,,,,,,,,
"Union St&Columbus Ave S-MB/BZ","29","0","320",,,,"21","0","261","8","0","59","0","0","0",,,,,,
"Broderick St&Beach St NE-FS","222","0","656","25","0","104","78","0","221","30","0","168","49","0","99","23","0","40","17","0","24"
"Broderick St&Jefferson St SE-NS","34","1","689","3","0","107","11","0","232","5","0","173","11","1","109","3","0","43","1","0","25"
"Jefferson St&Divisadero St SW-NS","14","3","700","4","0","111","5","2","235","2","0","175","3","0","112","0","1","42","0","0","25"
"Divisadero St&Beach St NW-NS","26","0","726","6","0","117","9","0","244","3","0","178","6","0","118","1","0","43","1","0","26"
"Divisadero St&North Point St NW-NS","41","0","767","6","0","123","23","0","267","5","0","183","6","0","124","1","0","44","0","0","26"
"Divisadero St&Bay St NW-NS","25","0","792","9","0","132","9","0","276","4","0","187","3","0","127","0","0","44","0","0","26"
"Divisadero St&Francisco St NW-NS","19","0","811","8","0","140","4","0","280","4","0","191","1","0","128","1","0","45","1","0","27"
"Divisadero St&Chestnut St NW-NS","180","11","980","22","1","161","59","7","332","32","2","221","37","1","164","14","0","59","16","0","43"
"Chestnut St&Scott St SW-NS/BZ","158","14","1124","19","2","178","59","7","384","24","2","243","32","2","194","15","0","74","9","1","51"
"Chestnut St&Pierce St SE-FS/BZ","224","20","1328","23","0","201","69","11","442","36","2","277","49","5","238","24","2","96","23","0","74"
"Chestnut St&Fillmore St SW-NS/BZ","445","63","1710","57","5","253","134","21","555","84","16","345","93","15","316","42","3","135","35","3","106"
"Chestnut St&Webster St SW-NS/BZ","115","12","1807","21","1","273","34","4","585","23","4","364","24","2","337","9","1","141","4","0","107"
"Chestnut St&Buchanan St SW-NS","59","11","1855","9","3","279","18","4","599","11","3","372","16","0","353","2","1","142","3","0","110"
"Chestnut St&Laguna St SW-NS/BZ","353","50","2158","64","7","336","126","16","709","48","8","412","75","10","418","27","7","162","13","2","121"
"Chestnut St&Octavia St SE-FS/BZ","91","16","2233","20","1","355","33","1","741","14","3","423","16","6","428","4","5","161","4","0","125"
"Chestnut St&Gough St SE-FS/BZ","49","16","2266","14","1","368","15","8","748","1","1","423","12","5","435","2","1","162","5","0","130"
"Chestnut St&Franklin St SE-FS/BZ","33","19","2280","12","1","379","11","4","755","3","6","420","2","6","431","3","0","165","2","2","130"
"Chestnut St&Van Ness Ave SW-NS/BZ","140","351","2069","26","56","349","43","103","695","30","60","390","19","74","376","15","30","150","7","28","109"
"Van Ness Ave&Bay St NE-FS","71","41","2099","13","9","353","17","9","703","27","9","408","7","10","373","4","2","152","3","2","110"
"North Point St&Van Ness Ave SE-FS","148","60","2244","16","15","354","44","27","720","24","10","422","56","6","480","3","0","155","5","2","113"
"North Point St&Polk St SE-FS/BZ","99","31","2312","16","7","363","27","10","737","13","4","431","32","5","507","9","3","161","2","2","113"
"North Point St&Larkin St SW-NS/BZ","67","28","2351","4","1","366","24","12","749","11","4","438","24","9","522","2","2","161","2","0","115"
"North Point St&Hyde St SW-NS/BZ","123","107","2367","12","9","369","27","46","730","14","20","432","38","24","536","20","3","178","12","5","122"
"Columbus Ave&Bay St W-MB/BZ","285","206","2446","19","32","356","67","84","713","43","29","446","104","39","601","37","14","201","15","8","129"
"Columbus Ave&Francisco St SW-FS","225","61","2610","44","13","387","63","10","766","30","8","468","57","18","640","18","10","209","13","2","140"
"Columbus Ave&Taylor St S-FS/BZ","231","55","2786","41","13","415","64","15","815","24","6","486","59","12","687","23","6","226","20","3","157"
"Columbus Ave&Lombard St SW-FS/BZ","259","47","2998","57","2","470","78","13","880","23","9","500","71","17","741","22","5","243","8","1","164"
"Columbus Ave&Filbert St W-NS/BZ","223","79","3142","34","16","488","100","20","960","28","19","509","47","18","770","9","4","248","5","2","167"
"Columbus Ave&Union St NW-NS/BZ","343","126","3359","80","15","553","115","36","1039","45","28","526","69","28","811","21","13","256","13","6","174"
"Stockton St&Columbus Ave SW-FS/BZ","1126","375","4430","114","32","635","481","133","1648","214","77","722","192","93","910","72","24","304","53","16","211"
"Stockton St&Pacific Ave W-MB/BB","1503","408","5525","136","43","728","723","165","2206","289","82","929","264","92","1082","45","17","332","46","9","248"
"Stockton St&Washington St W-MB","1169","381","6313","95","38","785","536","179","2563","263","82","1110","215","67","1230","38","10","360","22","5","265"
"Stockton St&Sacramento St W-MB","836","544","6605","97","71","811","351","233","2681","142","96","1156","173","95","1308","55","27","388","18","22","261"
"Stockton St&Sutter St NW-NS/BB","232","553","6284","36","72","775","72","198","2555","46","91","1111","59","128","1239","9","37","360","10","27","244"
"Stockton St&Geary Blvd NW-NS/SI","238","1273","5249","42","107","710","72","520","2107","45","248","908","60","277","1022","11","79","292","8","42","210"
"4th St&Market St S-FS/BZ","1132","3602","2779","210","387","533","405","1502","1010","189","680","417","236","713","545","54","198","148","38","122","126"
"4th St&Mission St S-FS/BZ","242","298","2723","33","40","526","77","125","962","44","53","408","58","47","556","17","16","149","13","17","122"
"4th St&Howard St S-FS/BZ","142","403","2462","10","47","489","60","182","840","22","78","352","39","81","514","9","10","148","2","5","119"
"4th St&Folsom St S-FS/BZ","152","488","2126","21","60","450","66","234","672","29","86","295","27","86","455","4","12","140","5","10","114"
"4th St&Brannan St N-NS/SI","26","448","1704","4","132","322","9","164","517","3","52","246","7","66","396","0","22","118","3","12","105"
"Townsend & 4th E","0","1540","164","0","298","24","0","481","36","0","231","15","0","359","37","0","87","31","0","84","21"
"Total Passenger Boardings ","11129","11741",,"1482","1537",,"4239","4586",,"1935","2109",,"2348","2417",,"668","652",,"457","440",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Night On","Night Off","Night Load"
"30X-Marina Express to Beach & Scott Weekday",,,,,,,,,,,,,,,,,,,,,
"Townsend & 4th E","1151","0","2383","172","0","502","423","0","944","118","0","253","284","0","474","114","0","151","40","0","59"
"3rd St&Brannan St E-MB/BB","463","21","2825","61","3","560","101","2","1043","59","2","310","172","13","633","43","1","193","27","0","86"
"3rd St&Perry St E-NS/BZ","327","49","3103","80","9","631","118","8","1153","41","12","339","73","17","689","11","2","202","4","1","89"
"3rd St&Folsom St N-FS/BZ","332","47","3388","49","3","677","138","28","1263","45","3","381","75","7","757","19","3","218","6","3","92"
"3rd St&Howard St E-NS/BZ","306","78","3616","44","13","708","126","23","1366","48","11","418","68","23","802","18","6","230","2","2","92"
"Howard St& New Montgomery St","34","0","296","21","0","181","13","0","115",,,,,,,,,,,,
"3rd St&Market St NE-MB/BZ","2178","796","5294","355","109","1135","959","223","2217","331","110","639","330","260","872","133","58","305","70","36","126"
"Kearny St&Geary Blvd NE-FS/BZ","1181","161","6314","140","23","1252","468","61","2624","197","27","809","260","37","1095","82","8","379","34","5","155"
"Sutter St&Kearny St NW-FS/BZ","514","166","6662","58","30","1280","145","55","2714","83","23","869","135","47","1183","74","7","446","19","4","170"
"Stockton St&Sutter St NE-FS/BB","895","196","7361","78","19","1339","310","72","2952","147","32","984","230","46","1367","96","20","522","34","7","197"
"Stockton St&Clay St E-MB/BB","690","2169","5882","142","380","1101","263","1114","2101","112","306","790","120","281","1206","36","66","492","17","22","192"
"Stockton St&Pacific Ave E-MB/BB","747","2375","4254","136","367","870","298","1174","1225","144","347","587","142","374","974","21","80","433","6","33","165"
"Stockton St&Columbus Ave SE-NS/BZ","572","1339","3487","93","138","825","209","518","916","120","253","454","91","280","785","41","103","371","18","47","136"
"Union St&Columbus Ave  NE-NS/BZ","9","392","3104","3","25","803","6","245","677","0","115","339","0","6","779","0","1","370","0","0","136"
