"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Night On","Night Off","Night Load"
"41-Line to Main & Howard",,,,,,,,,,,,,,,,,,
"Lyon St&Greenwich St SW-FS/BZ","92","0","133","42","0","67","2","0","8","44","0","54","3","0","3","1","0","1"
"Union St&Lyon St SE-FS","3","0","136","2","0","69","0","0","8","1","0","55","0","0","3","0","0","1"
"Union St&Baker St SW-NS","23","0","159","16","0","85","3","0","11","2","0","57","0","0","3","2","0","3"
"Union St&Divisadero St SW-NS","21","0","180","13","0","98","0","0","11","4","0","61","1","0","4","3","0","6"
"Union St&Pierce St SW-NS/BZ","47","2","225","40","2","136","1","0","12","5","0","66","0","0","4","1","0","7"
"Green St&Steiner St NE-NS","0","0","7","0","0","7",,,,,,,,,,,,
"Union St&Steiner St ** MI","12","1","251","3","0","154","0","0","12","6","1","71","3","0","7","0","0","7"
"Union St&Fillmore St SE-FS/BZ","165","9","392","117","6","265","5","0","17","39","3","99",,,,"4","0","11"
"Union St&Buchanan St SW-NS/BZ","90","5","477","57","3","319","7","1","23","23","1","121",,,,"3","0","14"
"Union St&Laguna St SW-NS/BZ","135","4","608","104","1","422","8","0","31","17","2","136",,,,"6","1","19"
"Union St&Gough St SW-NS/BZ","174","14","768","144","10","556","9","0","40","17","4","149",,,,"4","0","23"
"Union St&Van Ness Ave SW-NS/BZ","201","47","937","154","16","694","8","0","48","33","25","165","0","6","1","6","0","29"
"Union St&Polk St SW-NS/BZ","188","23","1100","150","9","835","4","0","52","28","14","178",,,,"6","0","35"
"Union St&Larkin St SE-FS/BZ","82","7","1175","74","4","905","3","0","55","2","3","177",,,,"3","0","38"
"Union St&Hyde St SW-NS/BZ","70","14","1231","59","5","959","4","1","58","4","8","173",,,,"3","0","41"
"Union St&Leavenworth St SW-NS","40","16","1255","37","8","988","0","1","57","3","7","169",,,,"0","0","41"
"Union St&Jones St SW-NS/BZ","26","13","1268","20","7","1001","1","1","57","3","5","167",,,,"2","0","43"
"Union St&Taylor St SW-NS","13","13","1268","10","10","1001","0","0","57","3","3","167",,,,"0","0","43"
"Union St&Mason St SW-NS/BZ","21","9","1280","20","1","1020","0","0","57","1","8","160",,,,"0","0","43"
"Union St&Columbus Ave S-MB/BZ","100","93","1287","70","55","1035","0","4","53","26","34","152",,,,"4","0","47"
"Columbus Ave&Stockton St S-FS/BZ","72","53","1306","42","28","1049","2","2","53","28","23","157",,,,"0","0","47"
"Columbus Ave&Broadway S-FS/BZ","34","59","1281","21","41","1029","0","5","48","13","12","158",,,,"0","1","46"
"Columbus Ave&Jackson St SW-FS/BZ","12","20","1273","4","15","1018","0","1","47","8","4","162",,,,"0","0","46"
"Clay St&Montgomery St SE-FS/BZ","41","287","1027","24","249","793","2","8","41","15","16","161",,,,"0","14","32"
"Clay St&Sansome St SE-FS/BZ","8","147","888","6","129","670","0","8","33","1","5","157",,,,"1","5","28"
"Clay St&Front St SE-FS/BZ","7","147","748","4","121","553","0","0","33","3","18","142",,,,"0","8","20"
"Davis St&California St NW-NS/BZ","9","291","466","5","189","369","0","24","9","4","66","80",,,,"0","12","8"
"Beale St&Mission St W-MB/BZ","7","315","158","4","252","121","0","9","0","3","50","33",,,,"0","4","4"
"Main St&Howard St E-NS/FL","0","73","74","0","61","49",,,,"0","12","21",,,,"0","0","4"
"Total Passenger Boardings ","1693","1662",,"1242","1222",,"59","65",,"336","324",,"7","6",,"49","45",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Night On","Night Off","Night Load"
"41-Line to Lyon & Greenwich",,,,,,,,,,,,,,,,,,
"Main St&Howard St E-NS/FL","117","0","245","10","0","55","2","0","5","94","0","171","11","0","11","0","0","3"
"Main St&Market St NE-MB/BZ","114","6","353","6","5","56","5","0","10","98","0","269","5","0","16","0","1","2"
"Drumm St&California St NE-FS/BZ","169","2","520","51","2","105","4","0","14","109","0","378","5","0","21","0","0","2"
"Sacramento St&Davis St NE-NS/BZ","178","8","690","36","3","138","9","0","23","118","4","492","11","1","31","4","0","6"
"Sacramento St&Battery St NW-FS/BZ","93","7","776","4","1","141","5","1","27","80","5","567","4","0","35","0","0","6"
"Sansome St&Sacramento St NE-FS/BZ","106","15","867","7","2","146","4","2","29","91","10","648","4","1","38","0","0","6"
"Washington St&Sansome St NW-FS/BZ","30","9","888","6","4","148","2","0","31","22","5","665","0","0","38","0","0","6"
"Columbus Ave&Washington St N","26","8","906","3","0","151","1","0","32","22","8","679","0","0","38","0","0","6"
"Columbus Ave&Kearny St N-FS/BZ","38","21","923","22","8","165","1","0","33","15","13","681","0","0","38","0","0","6"
"Columbus Ave&Broadway N-FS/BZ","23","17","929","11","4","172","2","1","34","10","11","680","0","1","37","0","0","6"
"Columbus Ave&Green St E-NS/BZ","50","77","902","25","34","163","3","3","34","21","37","664","1","1","37","0","2","4"
"Union St&Columbus Ave  NE-NS/BZ","141","75","968","50","14","199","8","2","40","76","56","684","5","3","39","2","0","6"
"Union St&Mason St NE-NS/BZ","38","15","991","23","2","220","4","1","43","10","12","682","1","0","40","0","0","6"
"Union St&Taylor St NE-NS","10","30","971","3","11","212","0","1","42","7","17","672","0","1","39","0","0","6"
"Union St&Jones St NE-NS/BZ","14","26","959","6","9","209","1","2","41","7","15","664","0","0","39","0","0","6"
"Union St&Leavenworth St NW-FS","9","49","919","3","3","209","0","2","39","4","41","627","1","3","37","1","0","7"
"Union St&Hyde St NE-NS","17","79","857","4","7","206","0","3","36","13","65","575","0","3","34","0","1","6"
"Union St&Larkin St NE-NS/BZ","9","42","824","2","2","206","1","1","36","6","39","542","0","0","34","0","0","6"
