"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"60-Powell-Hyde (cable car) to Powell & Market",,,,,,,,,,,,,,,,,,,,,
"Hyde St&Beach St NW-NS","3463","0","3467","50","0","50","1247","0","1249","519","0","520","744","0","745","681","0","681","222","0","222"
"Hyde St&North Point St W-MI","199","6","3660","6","0","56","45","0","1294","50","0","570","49","4","790","35","2","714","14","0","236"
"Hyde St&Bay St W-MI","91","8","3743","2","0","58","28","0","1322","20","1","589","32","1","821","9","6","717","0","0","236"
"Hyde St&Chestnut St W-MI","27","1","3769","5","0","63","10","0","1332","1","0","590","9","0","830","1","1","717","1","0","237"
"Hyde St&Lombard St SW-FS","339","203","3905","5","5","63","158","144","1346","63","27","626","75","17","888","37","3","751","1","7","231"
"Hyde St&Greenwich St NW-NS","13","13","3905","1","0","64","6","0","1352","5","13","618","1","0","889","0","0","751","0","0","231"
"Hyde St&Filbert St NW-NS","14","11","3908","1","0","65","10","9","1353","2","2","618","0","0","889","1","0","752","0","0","231"
"Hyde St&Union St W-MI","81","15","3974","26","0","91","35","4","1384","4","1","621","9","5","893","4","5","751","3","0","234"
"Hyde St&Green St NW-NS","9","2","3981","1","0","92","2","2","1384","2","0","623","0","0","893","2","0","753","2","0","236"
"Hyde St&Vallejo St NW-NS","19","8","3992","6","0","98","8","5","1387","0","0","623","3","0","896","2","3","752","0","0","236"
"Hyde St&Broadway NW-NS","6","5","3993","2","0","100","4","1","1390","0","2","621","0","0","896","0","2","750","0","0","236"
"Hyde St&Pacific Ave SW-FS","40","9","4024","12","1","111","19","8","1401","1","0","622","2","0","898","5","0","755","1","0","237"
"Hyde St&Jackson St W-MI","29","7","4046","6","0","117","9","3","1407","3","1","624","3","1","900","5","0","760","3","2","238"
"Washington St&Leavenworth St S-MI","11","14","4043","4","0","121","1","8","1400","3","1","626","1","0","901","0","2","758","2","3","237"
