"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"F-line to Jefferson & Powell",,,,,,,,,,,,,,,,,,,,,
"San Jose Ave&Geneva Ave-FS/SI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0","0","0"
"San Jose Ave&Geneva Ave E-FS/BZ","9","0","9","9","0","9","0","0","0","0","0","0","0","0","0",,,,"0","0","0"
"San Jose Ave&Ocean Ave SE-NS/SI","10","0","19","8","0","17","0","0","0","0","0","0","0","0","0",,,,"2","0","2"
"San Jose Ave&Santa Ynez Ave S-NS/SI","5","0","24","4","0","21","0","0","0","0","0","0","0","0","0",,,,"1","0","3"
"San Jose Ave&Santa Rosa Ave E-FS","18","0","42","18","0","39","0","0","0","0","0","0","0","0","0",,,,"0","0","3"
"Glen Park Station E-NS/SI","3","14","31","3","14","28","0","0","0","0","0","0","0","0","0",,,,"0","0","3"
"San Jose Ave&Randall St S-NS/SI","4","4","31","4","4","28","0","0","0","0","0","0","0","0","0",,,,"0","0","3"
"30th St&Dolores St NE-NS/BZ","2","3","30","0","3","25","0","0","0","0","0","0","0","0","0",,,,"2","0","5"
"Church St&30th St **","13","0","43","13","0","38","0","0","0","0","0","0","0","0","0",,,,"0","0","5"
"Church St&29th St SE-NS/SI","0","0","43","0","0","38","0","0","0","0","0","0","0","0","0",,,,"0","0","5"
"Church St&27th St SE-NS","9","0","52","8","0","46","0","0","0","0","0","0","0","0","0",,,,"1","0","6"
"Church St&Clipper St SE-NS","5","0","57","3","0","49","0","0","0","0","0","0","0","0","0",,,,"2","0","8"
"Church St&24th St SE-NS/SI","2","3","56","1","3","47","0","0","0","0","0","0","0","0","0",,,,"1","0","9"
"Church St&22nd St SE-NS","0","9","47","0","9","38","0","0","0","0","0","0","0","0","0",,,,"0","0","9"
"Right Of Way&21st St SE-NS","0","0","47","0","0","38","0","0","0","0","0","0","0","0","0",,,,"0","0","9"
"Right Of Way&Liberty St SE-NS","0","0","47","0","0","38","0","0","0","0","0","0","0","0","0",,,,"0","0","9"
"Right Of Way&20th St NE-NS","0","0","47","0","0","38","0","0","0","0","0","0","0","0","0",,,,"0","0","9"
"Right Of Way&18th St SE-NS","5","15","37","4","15","27","0","0","0","0","0","0","0","0","0",,,,"1","0","10"
"Church St&17th St **-MI","10","3","44","2","3","26","0","0","0","0","0","0","0","0","0",,,,"8","0","18"
"Church St&16th St SE-NS/SI","0","0","0",,,,,,,,,,,,,,,,"0","0","0"
"Church St&Market St SE-NS/SI","0","0","0",,,,,,,,,,,,,,,,"0","0","0"
"17th St&Castro St NE-NS/SI","762","15","791","117","13","130","238","0","238","98","0","98","200","0","200","51","0","51","58","2","74"
"Market St&Noe St S-NS/SI","179","9","961","45","0","175","47","1","284","32","1","129","35","6","229","8","0","59","12","1","85"
"Market St&Sanchez St S-NS","186","10","1137","60","1","234","54","2","336","24","2","151","37","4","262","9","0","68","2","1","86"
"Market St&Church St S-NS/SI","419","93","1463","73","8","299","135","31","440","53","13","191","83","20","325","42","10","100","33","11","108"
"Market St&Dolores St S-NS/SI","244","26","1681","32","2","329","91","10","521","61","4","248","40","5","360","13","3","110","7","2","113"
"Market St&Guerrero St S-NS/SI","297","65","1913","93","5","417","110","15","616","40","7","281","34","22","372","4","5","109","16","11","118"
"Market St&Gough St S-NS/SI","354","121","2146","72","15","474","137","41","712","64","17","328","47","37","382","17","7","119","17","4","131"
"Market St&South Van Ness Av S-N/SI","530","257","2442","76","64","486","187","93","826","67","39","358","112","38","457","37","9","147","51","14","168"
"Market St&9th St S-NS/SI","318","179","2581","49","41","494","125","61","890","50","28","380","63","26","494","16","8","155","15","15","168"
"Market St&8th St S-NS/SI","367","247","2701","27","33","488","184","78","996","70","39","411","51","59","486","17","6","166","18","32","154"
"Market St&7th St S-NS/SI","579","255","3025","125","37","576","212","109","1099","94","35","470","99","34","551","17","25","158","32","15","171"
"Market St&6th St S-NS/SI","273","287","3011","39","43","572","117","107","1109","41","35","476","35","65","521","21","14","165","20","23","168"
"Market St&5th St S-NS/SI","657","624","3044","101","69","604","254","233","1130","98","94","480","161","135","547","23","53","135","20","40","148"
"Market St&4th St S-NS/SI","853","468","3429","76","72","608","390","198","1322","126","64","542","202","90","659","49","25","159","10","19","139"
"Market St&3rd St S-NS/SI","415","708","3136","45","137","516","175","289","1208","68","111","499","101","108","652","12","30","141","14","33","120"
"Market St&New Montgomery St NS/SI","268","322","3082","80","80","516","86","152","1142","44","30","513","41","37","656","2","13","130","15","10","125"
"Market St&1st St S-NS/BZ","237","371","2948","63","114","465","73","116","1099","39","44","508","51","55","652","7","21","116","4","21","108"
"Market St&Main St S-NS/SI","718","306","3360","276","103","638","234","104","1229","88","29","567","73","46","679","20","11","125","27","13","122"
"Ferry Plaza S-MB","262","238","3384","51","28","661","94","95","1228","37","39","565","71","61","689","4","9","120","5","6","121"
"Ferry Terminal SE-NS","1186","228","4342","231","16","876","521","67","1682","144","68","641","208","65","832","44","6","158","38","6","153"
"The Embarcadero&Washington St N","123","32","4433","10","2","884","63","15","1730","10","10","641","32","4","860","5","0","163","3","1","155"
"The Embarcadero&Broadway NE-FS/SI","49","103","4379","3","23","864","17","17","1730","8","17","632","16","42","834","5","1","167","0","3","152"
"The Embarcadero&Green St NE-FS/SI","31","138","4272","7","57","814","10","28","1712","1","12","621","12","38","808","1","1","167","0","2","150"
"The Embarcadero&Greenwich St SE","32","218","4086","8","73","749","12","79","1645","6","31","596","4","28","784","2","1","168","0","6","144"
"Embarcadero & Sansome St E-NS SI","38","299","3825","5","122","632","9","115","1539","4","27","573","8","20","772","0","4","164","12","11","145"
"The Embarcadero&Bay St NE-FS/SI","64","517","3372","0","97","535","34","270","1303","14","46","541","15","85","702","1","9","156","0","10","135"
"The Embarcadero&Stockton St NE","179","1678","1873","8","258","285","24","749","578","55","258","338","83","336","449","7","43","120","2","34","103"
"Jefferson St&Powell St NW-FS","21","492","1402","0","103","182","14","137","455","3","90","251","3","127","325","1","20","101","0","15","88"
"Total Passenger Boardings ","9779","9779",,"1851","1851",,"3655","3655",,"1455","1455",,"1931","1931",,"438","438",,"449","449",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"F-line to Castro Street",,,,,,,,,,,,,,,,,,,,,
"Jones St&Beach St NW-NS","1568","0","1568","86","0","86","317","0","317","249","0","249","586","0","586","260","0","260","70","0","70"
"Beach St&Mason St SW-NS","546","16","2098","38","0","124","126","2","441","94","2","341","173","6","753","70","4","326","45","2","113"
"Beach St&Stockton St SW-NS","1005","28","3075","81","1","204","271","10","702","92","7","426","356","8","1101","161","1","486","44","1","156"
