"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"J-line to Embarcadero",,,,,,,,,,,,,,,,,,,,,
"Green Division Yard Outbound","934","13","938","175","0","177","281","0","281","202","0","202","207","0","207","59","0","59","10","13","12"
"San Jose Ave&Ocean Ave SE-NS/SI","234","6","1166","46","0","223","46","3","324","62","1","263","57","2","262","9","0","68","14","0","26"
"San Jose Ave&Santa Ynez Ave S-NS/SI","148","43","1271","63","0","286","46","6","364","18","7","274","11","25","248","3","5","66","7","0","33"
"San Jose Ave&Santa Rosa Ave E-FS","206","46","1431","86","3","369","53","9","408","33","14","293","24","14","258","9","5","70","1","1","33"
"Glen Park Station E-NS/SI","95","98","1428","21","55","335","17","14","411","24","14","303","17","11","264","11","3","78","5","1","37"
"San Jose Ave&Randall St S-NS/SI","163","65","1526","52","15","372","35","18","428","27","11","319","21","13","272","12","7","83","16","1","52"
"30th St&Dolores St NE-NS/BZ","182","104","1604","58","26","404","38","30","436","27","25","321","36","13","295","18","6","95","5","4","53"
"Church St&30th St **","405","41","1968","183","10","577","92","9","519","54","7","368","48","12","331","13","3","105","15","0","68"
"Church St&29th St SE-NS/SI","372","34","2306","101","4","674","107","6","620","46","4","410","47","15","363","40","5","140","31","0","99"
"Church St&27th St SE-NS","405","36","2675","148","7","815","122","5","737","48","12","446","46","8","401","25","4","161","16","0","115"
"Church St&Clipper St SE-NS","225","34","2866","80","8","887","78","5","810","26","11","461","22","9","414","16","1","176","3","0","118"
"Church St&24th St SE-NS/SI","799","168","3497","173","42","1018","225","50","985","152","36","577","122","23","513","99","11","264","28","6","140"
"Church St&22nd St SE-NS","201","59","3639","72","14","1076","46","10","1021","42","16","603","25","9","529","13","9","268","3","1","142"
"Right Of Way&21st St SE-NS","121","33","3727","46","0","1122","38","8","1051","20","8","615","9","14","524","4","3","269","4","0","146"
"Right Of Way&Liberty St SE-NS","57","15","3769","23","0","1145","19","5","1065","7","7","615","4","1","527","1","2","268","3","0","149"
"Right Of Way&20th St NE-NS","210","101","3878","86","5","1226","62","50","1077","17","17","615","31","20","538","6","7","267","8","2","155"
"Right Of Way&18th St SE-NS","480","250","4108","80","99","1207","150","57","1170","146","31","730","59","33","564","29","20","276","16","10","161"
"Church St&16th St SE-NS/SI","283","272","4119","64","74","1197","84","67","1187","55","54","731","64","50","578","13","20","269","3","7","157"
"Church St&Market St SE-NS/SI","325","443","4001","117","60","1254","90","115","1162","35","74","692","46","108","516","24","66","227","13","20","150"
"Duboce Ave&Church St SW-NS/SI","726","586","4141","287","98","1443","183","124","1221","87","185","594","114","93","537","29","65","191","26","21","155"
"Tunnel Entry Point Near Church","2","1","4142","0","0","1443","2","1","1222","0","0","594","0","0","537","0","0","191","0","0","155"
"VANNESS STATION INBOUND","903","502","4543","200","122","1521","230","145","1307","105","107","592","280","78","739","42","32","201","46","18","183"
