"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"K/T-line to Bay Shore & Sunnydale",,,,,,,,,,,,,,,,,,,,,
"METRO TERMINAL-NS/SI","817","0","828","245","0","246","187","0","189","124","0","125","225","0","231","36","0","37","0","0","0"
"City College Pedestrian Bridge N-MB","484","54","1258","21","8","259","201","21","369","113","10","228","126","15","342","23","0","60","0","0","0"
"Ocean Ave&Lee St NE-NS/SI","899","47","2110","187","18","428","360","7","722","191","8","411","127","13","456","27","1","86","7","0","7"
"Ocean Ave&Miramar Ave NE-NS/SI","337","101","2346","130","6","552","112","28","806","31","17","425","36","44","448","12","6","92","16","0","23"
"Ocean Ave&Dorado Ter NE-NS/SI","552","246","2652","154","57","649","181","63","924","91","35","481","94","80","462","21","11","102","11","0","34"
"Ocean Ave&Fairfield Way NW-FS/SI","273","139","2786","99","41","707","83","47","960","35","14","502","41","32","471","9","5","106","6","0","40"
"Ocean Ave&Westgate Dr E-NS/SI","97","50","2833","51","19","739","21","10","971","14","10","506","7","10","468","0","1","105","4","0","44"
"Ocean Ave&Aptos Ave E-NS/SI","137","194","2776","38","127","650","21","32","960","57","14","549","15","20","463","4","1","108","2","0","46"
"Ocean Ave&San Leandro Way E-NS/SI","49","107","2718","19","43","626","11","13","958","9","41","517","8","10","461","1","0","109","1","0","47"
"Junipero Serra Blvd&Ocean Ave NE-FS","202","233","2687","96","48","674","36","82","912","28","58","487","33","39","455","6","4","111","3","2","48"
"Saint Francis Circle-NS","251","150","2788","96","22","748","74","47","939","31","45","473","26","30","451","6","5","112","18","1","65"
"West Portal Ave&14th Ave S-NS/SI","133","121","2800","49","19","778","44","51","932","18","30","461","15","14","452","4","6","110","3","1","67"
"West Portal Ave&Ulloa St","37","11","2826","24","4","798","11","6","937","0","0","461","1","1","452","0","0","110","1","0","68"
"West Portal Station E-FS","876","433","3269","308","98","1008","232","134","1035","157","103","515","107","81","478","47","15","142","25","2","91"
"Forest Hill Station Inbound","509","180","3598","213","26","1195","130","52","1113","56","43","528","64","44","498","23","13","152","23","2","112"
"Castro Station Inbound","1188","227","4559","453","30","1618","355","79","1389","83","41","570","170","60","608","80","16","216","47","1","158"
"Church St Station Intbound","680","315","4924","175","36","1757","227","117","1499","61","63","568","133","64","677","62","31","247","22","4","176"
"Van Ness Station Inbound","855","674","5105","182","216","1723","263","202","1560","141","73","636","206","117","766","46","56","237","17","10","183"
"Civic Center Station Inbound","717","799","5023","115","182","1656","264","230","1594","103","118","621","184","182","768","33","66","204","18","21","180"
"Powell Station Inbound","968","1360","4631","128","296","1488","279","530","1343","166","190","597","280","243","805","93","67","230","22","34","168"
"Montgomery Station Inbound","787","1489","3929","143","607","1024","174","509","1008","103","140","560","303","146","962","44","34","240","20","53","135"
"Embarcadero Station ARR","1489","1191","4227","348","465","907","290","328","970","182","121","621","552","182","1332","54","35","259","63","60","138"
"Embarcadero&Folsom St","354","247","4335","46","102","851","82","72","980","52","25","648","139","40","1431","24","3","280","11","5","145"
"Embarcadero&Brannan St","53","250","4138","16","29","838","22","72","930","3","40","611","8","86","1353","0","21","259","4","2","147"
"King St&2nd St S-FS/SI","104","630","3612","21","164","695","23","159","794","17","55","573","27","215","1165","11","18","252","5","19","133"
"4th Street & King Street","898","900","3610","224","118","801","223","140","877","160","138","595","204","441","928","47","45","254","40","18","155"
"Third Street&Mission Rock St SW/FS","25","93","3542","0","15","786","6","15","868","11","20","586","5","23","910","0","7","247","3","13","145"
"Third Street&Gene Friend Wy SW/FS","47","308","3281","6","110","682","13","67","814","11","40","557","13","57","866","3","23","227","1","11","135"
