"Stop","Daily On","Daily Off","Daily Load","Owl On","Owl Off","Owl Load"
"L-line to Ferry Plaza",,,,,,
"Wawona St&46th Ave SW-NS","12","0","28","12","0","28"
"46th Ave&Vicente St SE-NS","2","0","30","2","0","30"
"46th Ave&Ulloa St SE-NS","0","0","30","0","0","30"
"46th Ave&Taraval St SE-NS","2","0","32","2","0","32"
"Taraval St&44th Ave SW-NS","2","0","34","2","0","34"
"Taraval St&42nd Ave SW-NS","1","0","35","1","0","35"
"Taraval St&40th Ave SW-NS","1","0","36","1","0","36"
"Taraval St&35th Ave SW-NS","4","0","40","4","0","40"
"Taraval St&32nd Ave SW-NS","4","0","44","4","0","44"
"Taraval St&30th Ave SW-NS","0","0","44","0","0","44"
"Taraval St&28th Ave SW-NS","4","0","48","4","0","48"
"Taraval St&26th Ave SW-NS","0","0","48","0","0","48"
"Taraval St&24th Ave SW-NS","0","0","48","0","0","48"
"Taraval St&22nd Ave SE-FS/SI","0","0","48","0","0","48"
"Taraval St&19th Ave SW-NS","6","0","54","6","0","54"
"Taraval St&17th Ave SW-NS","2","0","56","2","0","56"
"15th Ave&Taraval St SW-FS","0","0","56","0","0","56"
"15th Ave&Ulloa St NW-NS","0","0","56","0","0","56"
"Ulloa St&Forest Side Ave SW-NS","0","0","56","0","0","56"
"West Portal Station SW-NS/BZ","16","2","70","16","2","70"
"Woodside Ave&Balceta Ave SW-NS","0","0","70","0","0","70"
"Woodside Ave&Hernandez Ave SW-NS","0","0","70","0","0","70"
"Woodside Ave&Ulloa St SW-NS","0","0","70","0","0","70"
"Woodside Ave&Portola Dr W-NS","1","0","71","1","0","71"
"Mcateer High School S-MB","1","0","72","1","0","72"
"Portola Dr&Glenview Dr SE-FS","0","0","72","0","0","72"
"Portola Dr&Diamond Hts Bl SE-FS","5","2","75","5","2","75"
"Market St&Clayton St N-FS","0","0","75","0","0","75"
"Market St&Castro St SW-NS/BZ","12","5","82","12","5","82"
"Market St&Noe St S-NS/SI","5","0","87","5","0","87"
"Market St&Sanchez St S-NS","1","0","88","1","0","88"
"Market St&Church St S-NS/SI","27","3","112","27","3","112"
"Market St&Dolores St S-NS/SI","9","1","120","9","1","120"
"Market St&Guerrero St S-NS/SI","1","0","121","1","0","121"
"Market St&Gough St S-NS/SI","0","0","121","0","0","121"
"Market St&South Van Ness Av S-N/SI","17","20","118","17","20","118"
"Market St&9th St S-NS/SI","8","10","116","8","10","116"
"Market St&8th St S-NS/SI","0","5","111","0","5","111"
"Market St&7th St S-NS/SI","5","18","98","5","18","98"
"Market St&6th St S-NS/SI","5","15","88","5","15","88"
"Market St&5th St S-NS/SI","1","22","67","1","22","67"
"Market St&4th St S-NS/SI","1","11","57","1","11","57"
"Market St&3rd St E-FS/BZ","4","18","43","4","18","43"
"Market St&1st St S-NS/BZ","1","9","35","1","9","35"
"Market St&Beale St E-FS/BZ","0","16","19","0","16","19"
"Spear St&Market St S-FS/BB","0","4","15","0","4","15"
"Steuart St&Mission St **/DS","0","9","6","0","9","6"
"Total Passenger Boardings ","160","170",,"160","170",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,
,,,,,,
"Stop","Daily On","Daily Off","Daily Load","Owl On","Owl Off","Owl Load"
"L-line to Wawona & 46th",,,,,,
"Steuart St&Mission St **/DS","11","0","19","11","0","19"
"Market St&Drumm St N-NS/BZ","13","0","32","13","0","32"
"Market St&Battery St N-NS/SI","12","0","44","12","0","44"
"Market St&2nd St N-NS/SI","10","0","54","10","0","54"
"Market St&Kearny St N-NS/SI","8","0","62","8","0","62"
"Market St&Stockton St N-NS/SI","16","3","75","16","3","75"
