,,,,,,,,,,,,,,,,,,,,,,"Passenger Activity Report"
,"SF MTA",,,,,,,,,,,,,,,,,,,,,"Weekday"
,"L - Taraval - Two Cars",,,,,,,,,,,,,,,,,,,,,"Inbound"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Daily Total",,,"AM Peak",,,"Midday",,,"School",,,"PM Peak",,,"Evening",,,"Night",,
,"Stop","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load"
,"Wawona St&46th Ave SW-NS","393","0","395","106","0","107","127","0","127","86","0","87","46","0","46","14","0","14","14","0","14"
,"46th Ave&Vicente St SE-NS","190","1","584","93","1","199","53","0","180","13","0","100","25","0","71","2","0","16","4","0","18"
,"46th Ave&Ulloa St SE-NS","116","4","696","52","0","251","29","1","208","15","3","112","13","0","84","1","0","17","6","0","24"
,"46th Ave&Taraval St SE-NS","487","11","1172","188","2","437","155","4","359","68","2","178","39","2","121","18","1","34","19","0","43"
,"Taraval St&44th Ave SW-NS","320","4","1488","145","1","581","112","1","470","26","1","203","18","0","139","5","1","38","14","0","57"
,"Taraval St&42nd Ave SW-NS","348","4","1832","149","0","730","116","3","583","51","1","253","25","0","164","2","0","40","5","0","62"
,"Taraval St&40th Ave SW-NS","639","59","2412","226","15","941","225","18","790","68","11","310","79","15","228","21","0","61","20","0","82"
,"Taraval St&Sunset Blvd SW-NS/SI","672","59","3025","215","15","1141","199","24","965","151","7","454","75","10","293","17","3","75","15","0","97"
,"Taraval St&35th Ave SW-NS","468","30","3463","213","0","1354","96","21","1040","88","4","538","40","5","328","14","0","89","17","0","114"
,"Taraval St&32nd Ave SW-NS","516","70","3909","213","6","1561","171","28","1183","50","15","573","45","13","360","13","8","94","24","0","138"
,"Taraval St&30th Ave SW-NS","364","33","4240","164","6","1719","98","11","1270","43","12","604","27","4","383","15","0","109","17","0","155"
,"Taraval St&28th Ave SW-NS","343","134","4449","153","10","1862","105","25","1350","30","80","554","32","19","396","15","0","124","8","0","163"
,"Taraval St&26th Ave SW-NS","352","68","4733","152","9","2005","81","21","1410","63","10","607","29","25","400","10","3","131","17","0","180"
,"Taraval St&24th Ave SW-NS","442","85","5090","111","37","2079","116","22","1504","154","11","750","37","7","430","18","7","142","6","1","185"
,"Taraval St&22nd Ave SE-FS/SI","774","146","5718","202","30","2251","179","49","1634","269","32","987","91","27","494","17","8","151","16","0","201"
,"Taraval St&19th Ave SW-NS","625","333","6010","194","79","2366","216","127","1723","108","67","1028","76","39","531","18","17","152","13","4","210"
,"Taraval St&17th Ave SW-NS","497","151","6356","182","19","2529","194","48","1869","59","41","1046","42","31","542","11","12","151","9","0","219"
,"15th Ave&Taraval St SW-FS","354","110","6600","118","45","2602","77","25","1921","105","22","1129","32","12","562","10","5","156","12","1","230"
,"15th Ave&Ulloa St NW-NS","33","18","6615","17","2","2617","6","6","1921","1","8","1122","5","0","567","1","2","155","3","0","233"
,"Ulloa St&Forest Side Ave SW-NS","22","34","6603","15","12","2620","3","5","1919","1","11","1112","2","5","564","0","0","155","1","1","233"
,"West Portal Ave&Ulloa St","80","98","6585","20","8","2632","47","57","1909","8","12","1108","5","10","559","0","10","145","0","1","232"
,"West Portal Station S-NS/SI","1310","672","7222","410","148","2894","388","186","2111","241","235","1114","146","81","624","102","16","230","23","6","249"
,"Forest Hill Station Inbound","737","354","7605","286","64","3116","205","75","2241","135","138","1111","63","62","625","18","14","234","30","1","278"
,"Castro Station Inbound","1720","342","8983","652","68","3700","531","94","2678","177","91","1197","204","56","773","104","30","308","52","3","327"
,"Church St Station Intbound","979","443","9519","286","103","3883","334","120","2892","149","98","1248","128","76","825","64","39","333","18","7","338"
,"Van Ness Station Inbound","1013","1139","9393","253","407","3729","345","352","2885","126","188","1186","214","108","931","57","57","333","18","27","329"
,"Civic Center Station Inbound","669","1604","8458","137","514","3352","282","410","2757","121","238","1069","104","295","740","20","105","248","5","42","292"
,"Powell Station Inbound","497","2661","6294","84","734","2702","184","981","1960","80","425","724","111","334","517","37","121","164","1","66","227"
,"Montgomery Station Inbound","149","3448","2995","25","1556","1171","35","1163","832","31","323","432","50","209","358","7","76","95","1","121","107"
,"Embarcadero Station Inbound","2","2977","20","1","1153","19","0","832","0","1","432","1","0","358","0","0","95","0","0","107","0"
,"Total Passenger Boardings ","15111","15092",,"5062","5044",,"4709","4709",,"2518","2518",,"1803","1803",,"631","630",,"388","388",
,"Passenger Miles ","50684.73",,,"20520.94",,,"15243.45",,,"7141.23",,,"4427.0425",,,"1547.39125",,,"1804.69125",,
,"Average Passenger Trip Length ","3.3541612070677",,,"4.05391939944686",,,"3.23708643023997",,,"2.83607227958697",,,"2.45537437603993",,,"2.45228209191759",,,"4.65126288659794",,
,
,"Stop selected in Loading Analysis Report"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Passenger Activity Report"
,"SF MTA",,,,,,,,,,,,,,,,,,,,,"Weekday"
,"L - Taraval - Two Cars",,,,,,,,,,,,,,,,,,,,,"Outbound"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Daily Total",,,"AM Peak",,,"Midday",,,"School",,,"PM Peak",,,"Evening",,,"Night",,
,"Stop","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load"
,"King St&6th St **","32","0","32","0","0","0",,,,,,,,,,,,,"32","0","32"
,"Embarcadero Station ARR","3080","25","3277","220","0","261","441","0","461","321","0","348","1717","0","1794","365","0","390","16","25","23"
,"Montgomery Station Outbound","2174","88","5363","94","16","339","348","43","766","258","10","596","1185","13","2966","278","3","665","11","3","31"
,"Powell Station Outbound","2806","354","7815","250","28","561","806","150","1422","407","39","964","896","108","3754","437","24","1078","10","5","36"
,"Civic Center Station Outbound","1397","452","8760","276","69","768","326","189","1559","197","47","1114","463","106","4111","124","38","1164","11","3","44"
,"Van Ness Station OB","1223","737","9246","118","188","698","249","212","1596","173","70","1217","519","201","4429","159","56","1267","5","10","39"
,"Church St Station Outbound","543","953","8836","106","60","744","133","158","1571","71","137","1151","156","438","4147","72","152","1187","5","8","36"
,"Castro Station Outbound","380","1638","7578","64","109","699","77","275","1373","56","172","1035","132","784","3495","45","291","941","6","7","35"
,"Forest Hill Station Outbound","344","864","7058","73","115","657","97","130","1340","58","106","987","93","424","3164","20","84","877","3","5","33"
,"West Portal Station N-FS","1328","1315","7071","167","161","663","299","275","1364","167","167","987","414","540","3038","271","164","984","10","8","35"
,"West Portal Ave&Ulloa St","13","2","18","2","0","2",,,,"6","2","11","1","0","1",,,,"4","0","4"
,"Ulloa St&Forest Side Ave NE-NS","37","99","7027","10","12","663","6","13","1357","12","21","989","9","44","3004","0","9","975","0","0","39"
,"15th Ave&Ulloa St NE-FS","7","139","6895","1","10","654","4","19","1342","0","15","974","2","77","2929","0","18","957","0","0","39"
,"15th Ave&Taraval St SE-NS","88","308","6675","17","50","621","15","52","1305","27","47","954","19","118","2830","6","34","929","4","7","36"
,"Taraval St&17th Ave NE-NS","119","421","6373","11","30","602","41","89","1257","23","59","918","34","181","2683","10","61","878","0","1","35"
,"Taraval St&19th Ave NE-NS","324","658","6039","46","59","589","90","150","1197","54","81","891","114","273","2524","18","88","808","2","7","30"
,"Taraval St&22nd Ave NE-NS","240","611","5668","24","73","540","67","124","1140","68","94","865","61","244","2341","20","74","754","0","2","28"
,"Taraval St&23rd Ave NW-FS/SI","125","386","5407","10","122","428","32","77","1095","52","43","874","29","105","2265","1","37","718","1","2","27"
,"Taraval St&26th Ave NE-NS","47","406","5048","8","23","413","9","65","1039","16","68","822","12","200","2077","2","49","671","0","1","26"
,"Taraval St&28th Ave NE-NS","57","364","4741","1","41","373","22","71","990","2","48","776","25","156","1946","5","46","630","2","2","26"
,"Taraval St&30th Ave NE-NS","43","360","4424","4","22","355","15","73","932","4","55","725","15","159","1802","4","51","583","1","0","27"
,"Taraval St&32nd Ave NE-NS","44","475","3993","8","30","333","11","102","841","11","87","649","12","186","1628","1","69","515","1","1","27"
,"Taraval St&35th Ave NE-NS","33","366","3660","1","19","315","5","62","784","4","60","593","22","181","1469","1","38","478","0","6","21"
,"Taraval St&Sunset Blvd NE-NS/SI","161","636","3185","3","74","244","30","111","703","19","117","495","103","248","1324","6","85","399","0","1","20"
,"Taraval St&40th Ave NE-NS","44","653","2576","5","51","198","13","157","559","13","99","409","10","276","1058","3","66","336","0","4","16"
,"Taraval St&42nd Ave NE-NS","18","386","2208","0","29","169","8","69","498","3","94","318","5","148","915","2","46","292","0","0","16"
,"Taraval St&44th Ave NE-NS","12","338","1882","0","17","152","1","52","447","5","39","284","6","185","736","0","45","247","0","0","16"
,"Taraval St&46th Ave NE-NS","9","653","1238","0","38","114","6","138","315","0","107","177","0","276","460","3","85","165","0","9","7"
,"46th Ave&Ulloa St NW-NS","0","206","1032","0","15","99","0","28","287","0","36","141","0","96","364","0","31","134","0","0","7"
,"46th Ave&Vicente St NW-NS","2","147","887","0","8","91","1","20","268","1","25","117","0","75","289","0","19","115","0","0","7"
,"Wawona St&46th Ave SW-NS","1","861","27","0","73","18","0","262","6","1","116","2","0","288","1","0","115","0","0","7","0"
,"Total Passenger Boardings ","14731","14901",,"1519","1542",,"3152","3166",,"2029","2061",,"6054","6130",,"1853","1878",,"124","124",
,"Passenger Miles ","50872.36",,,"4308.0225",,,"9307.745",,,"6862.35",,,"23445.55",,,"6634.885",,,"313.82015625",,
,"Average Passenger Trip Length ","3.45342203516394",,,"2.83608953258723",,,"2.95296319796954",,,"3.38213405618531",,,"3.87273703336637",,,"3.58061521856449",,,"2.5308064516129",,
,
,"Stop selected in Loading Analysis Report"
,,,,,,,,,,,,,,,,,,,

