"Stop","Daily On","Daily Off","Daily Load","Owl On","Owl Off","Owl Load"
"N-line to King & 6th",,,,,,
"Judah St&La Playa St SE-FS","10","0","22","10","0","22"
"Judah St&46th Ave SW-NS/SI","9","0","31","9","0","31"
"Judah St&43rd Ave SW-NS/SI","3","0","34","3","0","34"
"Judah St&40th Ave SE-FS/SI","0","0","34","0","0","34"
"Judah St&Sunset Blvd SW-NS/SI","2","0","36","2","0","36"
"Judah St&34th Ave SW-NS/SI","3","0","39","3","0","39"
"Judah St&31st Ave SE-FS/SI","3","0","42","3","0","42"
"Judah St&28th Ave SW-NS/SI","7","0","49","7","0","49"
"Judah St&25th Ave SW-NS/SI","9","0","58","9","0","58"
"Judah St&22nd Ave SE-FS/SI","2","0","60","2","0","60"
"Judah St&19th Ave SW-NS/SI","5","1","64","5","1","64"
"Judah St&15th Ave SW-NS/SI","0","0","64","0","0","64"
"Judah St&Funston Ave SW-NS","1","0","65","1","0","65"
"Judah St&12th Ave SW-NS/SI","0","0","65","0","0","65"
"Judah St&9th Ave SW-NS/SI","6","0","71","6","0","71"
"9th Ave&Irving St SE-NS","7","0","78","7","0","78"
"Irving St&7th Ave SW-NS","6","0","84","6","0","84"
"Irving St&4th Ave SW-NS","2","0","86","2","0","86"
"Irving St&Arguello Blvd SW-NS","4","3","87","4","3","87"
"Carl St&Hillway Ave SE-FS/FL","0","0","87","0","0","87"
"Carl St&Stanyan St SW-NS","2","0","89","2","0","89"
"Carl St&Cole St SW-NS","3","0","92","3","0","92"
"Cole St&Waller St SE-NS","0","0","92","0","0","92"
"Cole St&Haight St SE-NS","2","0","94","2","0","94"
"Haight St&Clayton St SW-NS/BZ","0","0","94","0","0","94"
"Haight St&Masonic Ave SE-FS/BZ","1","0","95","1","0","95"
"Haight St&Buena Vista West Ave","8","0","103","8","0","103"
"Haight St&Buena Vista East Ave","0","0","103","0","0","103"
"Haight St&Divisadero St SE-FS/BZ","2","1","104","2","1","104"
"Haight St&Pierce St SW-NS/BZ","5","6","103","5","6","103"
"Fillmore St&Haight St SE-NS/BZ","0","6","97","0","6","97"
"Hermann St&Fillmore St SE-FS/BZ","0","0","97","0","0","97"
"Church St&Duboce Ave SE-NS/SI","13","12","98","13","12","98"
