,,,,,,,,,,,,,,,,,,,,,,"Passenger Activity Report"
,"SF MTA",,,,,,,,,,,,,,,,,,,,,"Weekday"
,"N - Judah - Two Cars",,,,,,,,,,,,,,,,,,,,,"Inbound"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Daily Total",,,"AM Peak",,,"Midday",,,"School",,,"PM Peak",,,"Evening",,,"Night",,
,"Stop","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load"
,"Judah St&La Playa St SE-FS","1640","1","1829","352","0","434","550","0","639","274","0","280","254","0","254","121","1","127","89","0","95"
,"Judah St&46th Ave SW-NS/SI","752","13","2568","232","2","664","226","1","864","54","2","332","125","5","374","61","0","188","54","3","146"
,"Judah St&43rd Ave SW-NS/SI","531","43","3056","212","11","865","169","18","1015","48","5","375","56","7","423","32","2","218","14","0","160"
,"Judah St&40th Ave SE-FS/SI","505","47","3514","197","5","1057","180","15","1180","47","5","417","42","15","450","21","5","234","18","2","176"
,"Judah St&Sunset Blvd SW-NS/SI","472","97","3889","164","31","1190","129","17","1292","59","13","463","68","26","492","33","6","261","19","4","191"
,"Judah St&34th Ave SW-NS/SI","375","32","4232","161","5","1346","110","9","1393","29","5","487","47","8","531","9","5","265","19","0","210"
,"Judah St&31st Ave SE-FS/SI","493","68","4657","209","5","1550","120","26","1487","59","16","530","66","16","581","22","5","282","17","0","227"
,"Judah St&28th Ave SW-NS/SI","469","43","5083","207","6","1751","140","12","1615","40","7","563","44","13","612","27","4","305","11","1","237"
,"Judah St&25th Ave SW-NS/SI","655","142","5596","205","27","1929","231","45","1801","67","27","603","112","38","686","26","5","326","14","0","251"
,"Judah St&22nd Ave SE-FS/SI","620","152","6064","211","18","2122","212","80","1933","55","23","635","69","24","731","49","6","369","24","1","274"
,"Judah St&19th Ave SW-NS/SI","1063","372","6755","270","121","2271","326","104","2155","94","50","679","188","56","863","135","26","478","50","15","309"
,"Judah St&15th Ave SW-NS/SI","449","65","7139","194","13","2452","104","23","2236","31","3","707","73","22","914","26","3","501","21","1","329"
,"Judah St&Funston Ave SW-NS","245","57","7327","125","17","2560","47","18","2265","18","8","717","37","9","942","9","4","506","9","1","337"
,"Judah St&12th Ave SW-NS/SI","173","70","7430","90","17","2633","37","25","2277","15","5","727","22","18","946","3","5","504","6","0","343"
,"Judah St&9th Ave SW-NS/SI","535","552","7413","221","137","2717","120","135","2262","37","86","678","77","105","918","41","70","475","39","19","363"
,"9th Ave&Irving St SE-NS","916","255","8074","188","34","2871","253","98","2417","159","30","807","183","52","1049","94","34","535","39","7","395"
,"Irving St&7th Ave SW-NS","651","146","8579","172","59","2984","172","36","2553","93","16","884","95","24","1120","90","8","617","29","3","421"
,"Irving St&4th Ave SW-NS","425","75","8929","132","17","3099","72","23","2602","41","10","915","145","17","1248","32","6","643","3","2","422"
,"Irving St&Arguello Blvd SW-NS","1455","579","9805","174","293","2980","278","179","2701","302","42","1175","495","23","1720","159","18","784","47","24","445"
,"Carl St&Hillway Ave SE-FS/FL","231","50","9986","67","7","3040","58","13","2746","15","8","1182","61","8","1773","6","5","785","24","9","460"
,"Carl St&Stanyan St SW-NS","568","157","10397","248","25","3263","125","45","2826","43","16","1209","105","47","1831","32","19","798","15","5","470"
,"Carl St&Cole St SW-NS","1776","304","11869","608","48","3823","392","68","3150","197","50","1356","344","79","2096","159","44","913","76","15","531"
,"Sunset Tunnel East Portal SE-FS/SI","544","412","12001","197","64","3956","118","87","3181","86","62","1380","119","108","2107","18","71","860","6","20","517"
,"Church St&Duboce Ave SE-NS/SI","0","0","12001","0","0","3956","0","0","3181","0","0","1380","0","0","2107","0","0","860","0","0","517"
,"Duboce Ave&Church St SW-NS/SI","1119","1547","11573","327","222","4061","371","405","3147","109","188","1301","216","413","1910","61","224","697","35","95","457"
,"Tunnel Entry Point Near Church","28","29","11571","21","9","4073","0","0","3147","3","6","1298","0","13","1897","0","0","696","4","1","460"
,"VANNESS STATION INBOUND","1174","1202","11543","206","348","3931","325","350","3122","183","156","1325","368","205","2060","46","93","649","46","50","456"
,"Civic Center Station Inbound","794","2048","10289","141","508","3564","248","528","2842","145","291","1179","184","513","1731","51","156","544","25","52","429"
,"Powell Station Inbound","839","2768","8360","138","680","3022","267","921","2188","112","351","940","220","524","1427","80","206","418","22","86","365"
,"Montgomery Station Inbound","626","2994","5992","121","1395","1748","118","770","1536","99","302","737","239","334","1332","39","73","384","10","120","255"
