,Stop,Daily On,Daily Off,Daily Load,AM Peak On,AM Peak Off,AM Peak Load,Midday On,Midday Off,Midday Load,School  On,School Off,School Load,PM Peak On,PM Peak Off,PM Peak Load,Evening On,Evening Off,Evening Load,Owl On,Owl Off,Owl Load,time_added,time_saved,time_delta,distance_to_next_stop,prev_stop_idx,next_stop_idx,removed_flag
0,Fillmore St&Bay St SE-NS/BZ,267,0,291,29,0,36,76,0,82,52,0,54,65,0,69,21,0,23,24,0,27,38142.857142857145,240,37902.857142857145,600,-1,3,False
1,Fillmore St&North Point St SE-NS,4,0,295,0,0,36,3,0,85,0,0,54,1,0,70,0,0,23,0,0,27,571.4285714285714,2910,-2338.5714285714284,200,0,2,True
2,Fillmore St&Beach St SE-NS/BZ,13,0,304,1,0,37,7,0,92,0,0,54,1,0,71,0,0,23,0,0,27,1857.1428571428573,2910,-1052.8571428571427,200,0,3,True
3,Fillmore St&Jefferson St SW-FS/BZ,50,17,324,17,2,52,11,9,94,7,2,59,1,4,68,0,0,23,1,0,28,7142.857142857143,2740,4402.857142857143,200,0,4,False
4,Fillmore St&Beach St NW-NS/BZ,108,9,423,27,0,79,23,2,115,23,2,80,25,5,88,7,0,30,3,0,31,15428.57142857143,3150,12278.57142857143,200,3,5,False
5,Fillmore St&Cervantes Blvd NW,85,1,507,19,0,98,28,0,143,15,0,95,17,1,104,6,0,36,0,0,31,12142.857142857143,4220,7922.857142857143,200,4,6,False
6,Fillmore St&Chestnut St NW-NS/BZ,506,41,972,47,15,130,99,9,233,112,6,201,135,8,231,64,0,100,49,3,77,72285.71428571429,4660,67625.71428571429,200,5,7,False
7,Fillmore St&Lombard St SW-FS/BZ,394,22,1344,59,2,187,91,4,320,76,11,266,102,2,331,39,2,137,27,1,103,56285.71428571429,9500,46785.71428571429,200,6,8,False
8,Union St&Fillmore St NW-FS/BZ,383,103,1624,32,13,206,85,20,385,71,15,322,111,17,425,60,6,191,24,0,127,54714.28571428572,12410,42304.28571428572,1000,7,13,False
9,Steiner St&Union St SW-FS/BZ,97,32,1724,13,0,220,24,3,408,25,2,345,26,3,448,2,0,193,7,0,134,13857.142857142859,16270,-2412.8571428571413,800,8,13,True
10,Steiner St&Green St W-MI,18,15,1751,4,3,221,4,2,410,4,4,345,5,0,453,1,0,194,0,0,134,2571.4285714285716,17330,-14758.571428571428,400,9,12,True
11,Steiner St&Vallejo St W-MI,14,6,1765,4,0,225,2,1,411,3,3,345,4,1,456,1,1,194,0,0,134,2000.0000000000002,17510,-15510.0,200,10,12,True
12,Broadway&Steiner St SE-FS,55,9,1779,0,2,223,3,3,411,6,1,350,11,3,464,2,0,196,1,0,135,7857.142857142858,17240,-9382.857142857141,200,9,13,True
13,Fillmore St&Broadway SW-FS/BZ,215,47,1795,7,11,219,12,7,416,25,13,362,16,12,468,3,4,195,0,0,135,30714.285714285717,15800,14914.285714285717,200,8,14,False
14,Jackson St&Fillmore St NW-FS/BZ,2,0,2,,,,0,0,0,,,,1,0,1,0,0,0,1,0,1,285.7142857142857,0,285.7142857142857,200,13,15,False
15,Fillmore St&Jackson St SW-FS/BZ,166,160,1803,30,30,219,41,38,419,37,41,358,43,37,475,10,10,195,5,4,137,23714.285714285717,16370,7344.285714285717,200,14,16,False
16,Fillmore St&Sacramento St NW,513,244,2072,40,43,216,175,75,519,80,47,391,144,56,563,52,13,234,22,10,149,73285.71428571429,15590,57695.71428571429,200,15,17,False
17,Fillmore St&Pine St SW-FS/BZ,265,53,2284,26,6,236,62,15,566,50,15,426,84,12,635,20,3,251,23,2,170,37857.14285714286,20190,17667.142857142862,200,16,18,False
18,Fillmore St&Sutter St SW-FS/BZ,334,182,2436,44,28,252,115,57,624,58,41,443,83,38,680,22,12,261,12,6,176,47714.28571428572,21020,26694.285714285717,200,17,19,False
19,Fillmore St&Geary Blvd SW-FS/BZ,718,283,2871,85,13,324,215,71,768,132,66,509,178,83,775,46,29,278,62,21,217,102571.42857142858,21530,81041.42857142858,200,18,20,False
20,Fillmore St&O'Farrell St SW-FS/BZ,329,97,3103,55,13,366,105,28,845,56,27,538,76,25,826,23,3,298,14,1,230,47000.0,27740,19260.0,200,19,21,False
21,Fillmore St&Eddy St NW-NS/BZ,242,134,3211,84,13,437,70,41,874,32,29,541,46,34,838,7,11,294,3,6,227,34571.42857142857,29690,4881.4285714285725,200,20,22,False
22,Fillmore St&Turk St SW-FS/BZ,292,171,3332,81,15,503,88,65,897,46,36,551,53,43,848,14,8,300,10,4,233,41714.28571428572,30400,11314.285714285717,200,21,23,False
23,Fillmore St&Mcallister St SW,370,311,3391,95,21,577,109,91,915,52,53,550,74,67,855,21,16,305,19,8,244,52857.14285714286,30210,22647.142857142862,400,22,25,False
24,Fillmore St&Grove St NW-NS/BZ,80,55,3471,21,6,592,21,10,926,15,17,548,15,18,852,5,3,307,3,1,246,11428.57142857143,33910,-22481.428571428572,200,23,25,True
25,Fillmore St&Hayes St SW-FS/BZ,356,384,3363,80,25,647,79,54,951,30,33,545,55,48,859,19,19,307,13,10,249,50857.14285714286,30070,20787.142857142862,400,23,27,False
26,Fillmore St&Oak St SW-FS/BZ,175,195,3538,42,37,652,51,39,963,17,34,528,44,53,850,13,19,301,8,13,244,25000.0,33630,-8630.0,200,25,27,True
27,Fillmore St&Haight St NW-NS/BZ,499,458,3404,75,39,688,85,115,933,49,69,508,75,98,827,19,45,275,21,18,247,71285.71428571429,29050,42235.71428571429,400,25,29,False
28,Hermann St&Fillmore St SE-FS/BZ,55,74,3459,14,7,695,16,17,932,3,11,500,17,28,816,3,7,271,2,4,245,7857.142857142858,34040,-26182.85714285714,200,27,29,True
29,Church St&Duboce Ave NW-NS/BZ,235,293,3346,54,47,702,64,90,906,25,48,477,25,75,766,10,20,261,2,13,234,33571.42857142857,31110,2461.4285714285725,200,27,30,False
30,Church St&Market St NW-NS,597,567,3377,104,117,689,184,150,940,81,75,484,131,134,763,47,63,245,50,28,256,85285.71428571429,27800,57485.71428571429,200,29,31,False
31,Church St&16th St NW-NS/SI,232,473,3136,40,77,652,69,45,964,60,27,517,48,41,770,7,14,238,8,4,260,33142.857142857145,29040,4102.857142857145,600,30,34,False
32,16th St&Dolores St SW-NS,112,265,3248,24,22,654,36,30,970,25,33,509,18,22,766,3,10,231,6,4,262,16000.000000000002,31360,-15359.999999999998,400,31,34,True
33,16th St&Guerrero St SW-NS/BZ,72,144,3320,18,8,664,14,31,953,17,30,496,15,54,727,4,13,222,4,8,258,10285.714285714286,32480,-22194.285714285714,200,32,34,True
34,16th St&Valencia St SW-NS/BZ,373,363,3146,49,35,678,65,103,915,28,61,463,22,94,655,9,42,189,16,28,246,53285.71428571429,27730,25555.71428571429,200,31,35,False
35,16th St&Mission St SW-NS/BZ,1076,1275,2947,240,173,745,329,361,883,158,212,409,224,320,559,63,89,163,62,120,188,153714.2857142857,18710,135004.2857142857,200,34,36,False
36,16th St&Shotwell St SE-FS/BZ,177,525,2599,43,54,734,60,73,870,33,39,403,28,44,543,2,11,154,11,15,184,25285.714285714286,24220,1065.7142857142862,400,35,38,False
37,16th St&Harrison St SW-NS/BZ,72,289,2671,22,74,682,17,92,795,12,35,380,17,75,485,2,6,150,2,7,179,10285.714285714286,25990,-15704.285714285714,200,36,38,True
38,16th St&Bryant St SE-FS/BZ,198,626,2171,23,100,605,46,225,616,21,111,290,21,123,383,13,42,121,2,25,156,28285.714285714286,19730,8555.714285714286,200,36,39,False
39,16th St&Potrero Ave SW-NS/BZ,193,1005,1360,55,125,534,48,199,464,33,103,221,33,121,295,16,25,112,8,43,123,27571.428571428572,13860,13711.428571428572,800,38,43,False
40,16th St&San Bruno Ave SE-FS/BZ,12,52,1709,4,20,518,4,11,457,1,3,219,2,9,288,0,3,109,1,6,118,1714.2857142857144,16970,-15255.714285714286,200,39,41,True
41,16th St&Kansas St SW-NS/BZ,27,118,1606,4,51,471,5,28,434,2,11,210,2,10,280,0,4,105,2,14,106,3857.1428571428573,15790,-11932.857142857143,200,39,42,True
42,17th St&Kansas St NW-FS/BZ,89,219,1449,20,90,401,11,66,379,23,25,208,5,26,259,1,7,99,2,5,103,12714.285714285716,13600,-885.7142857142844,200,39,43,True
